"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","periodo_fact_c_diaria","tipo_razon_uso","id_viaje","grupo_viaje","comparativa_descripcion","comparativa_grupo_viaje","comparativa_razon_uso","comparativa_clave_si","comparativa_clave_no"
A000264,2015-08-29,P.VIAJE,consumible,consumible_8468,P.VIAJE2,-13683.0,201508,especifico,V003,G002,,P017,,,
A000265,2015-08-29,P.VIAJE,consumible,consumible_7592,P.VIAJE8,-4236.0,201508,especifico,V003,G002,,P017,,,
A000266,2015-08-29,P.VIAJE,consumible,consumible_11627,P.VIAJE3,-1768.5,201508,especifico,V003,G002,,P017,,,
A000267,2015-08-30,P.VIAJE,consumible,consumible_9131,P.VIAJE9,-14106.0,201508,especifico,V003,G002,,P017,,,
A000268,2015-08-30,P.VIAJE,recreacion,recreacion_19,P.VIAJE9,-5646.0,201508,especifico,V003,G002,,P017,,,
A000281,2015-09-03,P.VIAJE,evento,evento_5687,P.VIAJE3,-55295.625,201509,especifico,V005,G004,,P016,,,
A000282,2015-09-03,P.VIAJE,transporte,transporte_5,P.VIAJE8,-70435.5,201509,especifico,V005,G004,,P016,,,
A000283,2015-09-04,P.VIAJE,necesidad,necesidad: nombre_18,P.VIAJE4,-22566.0,201509,especifico,V003,G002,,P017,,,
A000285,2015-09-05,P.RECREACION,regalo,regalo: nombre_7,P.RECREACION9,-62680.5,201509,especifico,,,,,P.RECREACION,P013,
A000288,2015-09-05,P.RECREACION,regalo,regalo: nombre_20,P.RECREACION10,-3531.0,201509,especifico,,,,,P.RECREACION,P013,
A000299,2015-09-12,P.GUSTOS,gustos,gustos_5035,P.GUSTOS9,-21649.5,201509,especifico,,,,,P.GUSTOS,,P012
A000300,2015-09-12,P.GUSTOS,gustos,gustos_4636,P.GUSTOS8,-14035.5,201509,especifico,,,,,P.GUSTOS,,P012
A000301,2015-09-12,P.GUSTOS,gustos,gustos_4637,P.GUSTOS7,-9523.5,201509,especifico,,,,,P.GUSTOS,,P012
A000302,2015-09-12,P.GUSTOS,gustos,gustos_4745,P.GUSTOS9,-28135.5,201509,especifico,,,,,P.GUSTOS,,P012
A000303,2015-09-12,P.GUSTOS,gustos,gustos_4757,P.GUSTOS7,-6351.0,201509,especifico,,,,,P.GUSTOS,,P012
A000327,2015-09-19,P.FORMAL,transporte,transporte_12,P.FORMAL3,-105756.0,201509,especifico,,,,,P.FORMAL,P011,
A000338,2015-09-25,P.GUSTOS,gustos,gustos_4787,P.GUSTOS7,-28206.0,201509,especifico,,,,,P.GUSTOS,,P012
A000460,2015-11-19,P.VIAJE,transaccion,transaccion: nombre_18,P.VIAJE3,4224.0,201511,especifico,V005,G004,,P016,,,
A000461,2015-11-19,P.VIAJE,necesidad,necesidad_16,P.VIAJE1,-21156.0,201511,especifico,V005,G004,,P016,,,
A000462,2015-11-19,P.VIAJE,consumible,consumible_7143,P.VIAJE7,-1275.0,201511,especifico,V005,G004,,P016,,,
A000463,2015-11-20,P.VIAJE,transporte,transporte_17,P.VIAJE1,-711.0,201511,especifico,V005,G004,,P016,,,
A000464,2015-11-20,P.VIAJE,transporte,transporte_18,P.VIAJE8,-2826.0,201511,especifico,V005,G004,,P016,,,
A000466,2015-11-20,P.VIAJE,evento,evento_5677,P.VIAJE3,-4518.0,201511,especifico,V005,G004,,P016,,,
A000467,2015-11-20,P.VIAJE,evento,evento_5676,P.VIAJE4,-4518.0,201511,especifico,V005,G004,,P016,,,
A000468,2015-11-20,P.VIAJE,consumible,consumible_11665,P.VIAJE5,-7690.5,201511,especifico,V005,G004,,P016,,,
A000469,2015-11-20,P.VIAJE,necesidad,necesidad_20,P.VIAJE4,-35256.0,201511,especifico,V005,G004,,P016,,,
A000472,2015-11-20,P.VIAJE,evento,evento_5868,P.VIAJE2,-711.0,201511,especifico,V005,G004,,P016,,,
A000473,2015-11-20,P.VIAJE,necesidad,necesidad_1,P.VIAJE6,-7056.0,201511,especifico,V005,G004,,P016,,,
A000474,2015-11-20,P.VIAJE,consumible,consumible_8438,P.VIAJE2,-7761.0,201511,especifico,V005,G004,,P016,,,
A000475,2015-11-20,P.VIAJE,gustos,gustos_5474,P.VIAJE6,-3531.0,201511,especifico,V005,G004,,P016,,,
A000476,2015-11-20,P.VIAJE,gustos,gustos_5491,P.VIAJE9,-1063.5,201511,especifico,V005,G004,,P016,,,
A000477,2015-11-20,P.VIAJE,gustos,gustos_5440,P.VIAJE10,-711.0,201511,especifico,V005,G004,,P016,,,
A000478,2015-11-21,P.VIAJE,necesidad,necesidad_2,P.VIAJE5,-35256.0,201511,especifico,V005,G004,,P016,,,
A000479,2015-11-21,P.VIAJE,transporte,transporte_3,P.VIAJE5,-4857.1050000000005,201511,especifico,V005,G004,,P016,,,
A000482,2015-11-21,P.VIAJE,recreacion,recreacion_4,P.VIAJE10,-7056.0,201511,especifico,V005,G004,,P016,,,
A000483,2015-11-21,P.VIAJE,transporte,transporte_5,P.VIAJE9,-1416.0,201511,especifico,V005,G004,,P016,,,
A000484,2015-11-21,P.VIAJE,transporte,transporte_6,P.VIAJE10,-1416.0,201511,especifico,V005,G004,,P016,,,
A000485,2015-11-21,P.VIAJE,evento,evento_5740,P.VIAJE10,-7408.5,201511,especifico,V005,G004,,P016,,,
A000486,2015-11-21,P.VIAJE,consumible,consumible_11914,P.VIAJE6,-1416.0,201511,especifico,V005,G004,,P016,,,
A000487,2015-11-21,P.VIAJE,consumible,consumible_11786,P.VIAJE4,-7690.5,201511,especifico,V005,G004,,P016,,,
A000488,2015-11-21,P.VIAJE,consumible,consumible_11659,P.VIAJE1,-3672.0,201511,especifico,V005,G004,,P016,,,
A000489,2015-11-21,P.VIAJE,evento,evento_5692,P.VIAJE8,-10158.0,201511,especifico,V005,G004,,P016,,,
A000490,2015-11-21,P.VIAJE,consumible,consumible_9572,P.VIAJE8,-2826.0,201511,especifico,V005,G004,,P016,,,
A000491,2015-11-21,P.VIAJE,consumible,consumible_9815,P.VIAJE5,-1416.0,201511,especifico,V005,G004,,P016,,,
A000492,2015-11-21,P.VIAJE,transporte,transporte_7,P.VIAJE3,-8774.789999999999,201511,especifico,V005,G004,,P016,,,
A000493,2015-11-21,P.VIAJE,recreacion,recreacion_8,P.VIAJE1,-7056.0,201511,especifico,V005,G004,,P016,,,
A000494,2015-11-21,P.VIAJE,consumible,consumible_9267,P.VIAJE3,-711.0,201511,especifico,V005,G004,,P016,,,
A000495,2015-11-21,P.VIAJE,consumible,consumible_7116,P.VIAJE4,-852.0,201511,especifico,V005,G004,,P016,,,
A000496,2015-11-22,P.VIAJE,recreacion,recreacion_9,P.VIAJE7,-13401.0,201511,especifico,V005,G004,,P016,,,
A000536,2015-12-12,P.RECREACION,regalo,regalo: nombre_6,P.RECREACION8,-30997.800000000003,201512,especifico,,,,,P.RECREACION,P013,
A000537,2015-12-12,P.RECREACION,regalo,regalo: nombre_20,P.RECREACION10,-34903.5,201512,especifico,,,,,P.RECREACION,P013,
A000538,2015-12-12,P.RECREACION,regalo,regalo: nombre_10,P.RECREACION1,-56335.5,201512,especifico,,,,,P.RECREACION,P013,
A000541,2015-12-12,P.RECREACION,regalo,regalo: nombre_2,P.RECREACION4,-2121.0,201512,especifico,,,,,P.RECREACION,P013,
A000559,2015-12-16,P.RECREACION,regalo,regalo: nombre_9,P.RECREACION9,-56335.5,201512,especifico,,,,,P.RECREACION,P013,
A000573,2015-12-22,P.RECREACION,regalo,regalo: nombre_17,P.RECREACION2,-52881.0,201512,especifico,,,,,P.RECREACION,P013,
A000580,2015-12-23,P.RECREACION,regalo,regalo: nombre_10,P.RECREACION10,-7056.0,201512,especifico,,,,,P.RECREACION,P013,
A000586,2015-12-26,P.RECREACION,regalo,regalo: nombre_5,P.RECREACION1,-28206.0,201512,especifico,,,,,P.RECREACION,P013,
A000604,2015-12-31,P.VIAJE,transporte,transporte_2,P.VIAJE8,-2121.0,201512,especifico,V007,G006,,P018,,,
A000605,2015-12-31,P.VIAJE,transporte,transporte_3,P.VIAJE9,-4236.0,201512,especifico,V007,G006,,P018,,,
A000606,2015-12-31,P.VIAJE,consumible,consumible_8053,P.VIAJE7,-13189.5,201512,especifico,V007,G006,,P018,,,
A000607,2015-12-31,P.VIAJE,consumible,consumible_9774,P.VIAJE6,-711.0,201512,especifico,V007,G006,,P018,,,
A000608,2016-01-01,P.VIAJE,consumible,consumible_10566,P.VIAJE4,-3531.0,201601,especifico,V007,G006,,P018,,,
A000609,2016-01-01,P.VIAJE,deuda,deuda: nombre_17,P.VIAJE3,7044.0,201601,especifico,V007,G006,,P018,,,
A000610,2016-01-01,P.VIAJE,consumible,consumible_8050,P.VIAJE10,-7330.950000000001,201601,especifico,V007,G006,,P018,,,
A000610-1,2016-01-01,P.VIAJE,deuda,deuda: nombre_18,P.VIAJE4,-7056.0,201601,especifico,V007,G006,,P018,,,
A000611,2016-01-02,P.VIAJE,consumible,consumible_7220,P.VIAJE10,-2262.0,201601,especifico,V007,G006,,P018,,,
A000612,2016-01-02,P.VIAJE,consumible,consumible_9934,P.VIAJE6,-2826.0,201601,especifico,V007,G006,,P018,,,
A000613,2016-01-02,P.VIAJE,evento,"6.evento_18",P.VIAJE2,-7761.0,201601,especifico,V007,G006,P006,,,,
A000614,2016-01-02,P.VIAJE,consumible,consumible_7674,P.VIAJE6,-4588.5,201601,especifico,V007,G006,,P018,,,
A000615,2016-01-02,P.VIAJE,consumible,consumible_10394,P.VIAJE6,-3531.0,201601,especifico,V007,G006,,P018,,,
A000616,2016-01-03,P.VIAJE,transporte,transporte_4,P.VIAJE2,-10581.0,201601,especifico,V007,G006,,P018,,,
A000749,2016-02-29,P.GUSTOS,gustos,gustos_4807,P.GUSTOS7,-492730.5,201602,especifico,,,,,P.GUSTOS,,P012
A000750,2016-02-29,P.GUSTOS,gustos,gustos_4822,P.GUSTOS2,-27783.0,201602,especifico,,,,,P.GUSTOS,,P012
A000752,2016-03-01,P.SALUD,necesidad,necesidad_4,P.SALUD10,-41601.0,201603,especifico,,,,,P.SALUD,,P014
A000771,2016-03-12,P.SALUD,necesidad,necesidad_10,P.SALUD1,-359556.0,201603,especifico,,,,,P.SALUD,,P014
A000802,2016-03-18,P.FORMAL,transporte,transporte_3,P.FORMAL2,-84606.0,201603,especifico,,,,,P.FORMAL,P011,
A000803,2016-03-18,P.FORMAL,transporte,transporte_4,P.FORMAL9,-31731.0,201603,especifico,,,,,P.FORMAL,P011,
A000804,2016-03-18,P.FORMAL,transporte,transporte_5,P.FORMAL5,-16926.0,201603,especifico,,,,,P.FORMAL,P011,
A000835,2016-03-31,P.SALUD,necesidad,necesidad_11,P.SALUD4,-12696.0,201603,especifico,,,,,P.SALUD,,P014
A000888,2016-04-15,P.GUSTOS,gustos,gustos_4777,P.GUSTOS7,-705006.0,201604,especifico,,,,,P.GUSTOS,,P012
A000967,2016-05-06,P.VIAJE,evento,evento_5839,P.VIAJE1,-51889.770000000004,201605,especifico,V013,G011,,P019,,,
A000967-1,2016-05-06,P.VIAJE,evento,evento_5838,P.VIAJE2,-51889.770000000004,201605,especifico,V013,G011,,P019,,,
A000980,2016-05-14,P.VIAJE,deuda,deuda: nombre_13,P.VIAJE2,56394.0,201605,especifico,V013,G011,,P019,,,
A000981,2016-05-14,P.VIAJE,transporte,transporte_19,P.VIAJE9,-24681.0,201605,especifico,V009,G008,,P080,,,
A000982,2016-05-14,P.VIAJE,consumible,consumible_8465,P.VIAJE5,-11638.5,201605,especifico,V009,G008,,P080,,,
A000983,2016-05-14,P.VIAJE,transporte,transporte: nombre_1,P.VIAJE5,4929.0,201605,especifico,V009,G008,,P080,,,
A000984,2016-05-15,P.VIAJE,consumible,consumible_11320,P.VIAJE10,-8466.0,201605,especifico,V009,G008,,P080,,,
A000985,2016-05-15,P.VIAJE,transporte,transporte: nombre_20,P.VIAJE6,7044.0,201605,especifico,V009,G008,,P080,,,
A001000,2016-05-17,P.VIAJE,necesidad,necesidad_2,P.VIAJE10,-81196.62000000001,201605,especifico,V013,G011,,P019,,,
A001001,2016-05-17,P.VIAJE,deuda,deuda: nombre_14,P.VIAJE5,-84606.0,201605,especifico,V013,G011,,P019,,,
A001008,2016-05-18,P.VIAJE,evento,evento_5841,P.VIAJE9,103761.54000000001,201605,especifico,V013,G011,,P019,,,
A001009,2016-05-18,P.VIAJE,evento,evento_5837,P.VIAJE3,-47373.54,201605,especifico,V013,G011,,P019,,,
A001020,2016-05-24,P.FORMAL,transporte,transporte_9,P.FORMAL2,-634506.0,201605,especifico,,,,,P.FORMAL,P011,
A001021,2016-05-24,P.FORMAL,transporte,transporte_10,P.FORMAL6,-507606.0,201605,especifico,,,,,P.FORMAL,P011,
A001031,2016-05-27,P.VIAJE,deuda,deuda: nombre_15,P.VIAJE6,42294.0,201605,especifico,V013,G011,,P019,,,
A001073,2016-06-04,P.VIAJE,transporte,transporte_18,P.VIAJE3,-21156.0,201606,especifico,V010,G009,,P020,,,
A001074,2016-06-04,P.VIAJE,consumible,consumible_7096,P.VIAJE4,-852.0,201606,especifico,V010,G009,,P020,,,
A001075,2016-06-04,P.VIAJE,consumible,consumible_8416,P.VIAJE4,-7056.0,201606,especifico,V010,G009,,P020,,,
A001076,2016-06-04,P.VIAJE,consumible,consumible_10564,P.VIAJE6,-2685.0,201606,especifico,V010,G009,,P020,,,
A001077,2016-06-04,P.VIAJE,consumible,consumible_9238,P.VIAJE2,-4588.5,201606,especifico,V010,G009,,P020,,,
A001078,2016-06-04,P.VIAJE,consumible,consumible_10085,P.VIAJE5,-5998.5,201606,especifico,V010,G009,,P020,,,
A001079,2016-06-04,P.VIAJE,consumible,consumible_8663,P.VIAJE7,-2121.0,201606,especifico,V010,G009,,P020,,,
A001080,2016-06-04,P.VIAJE,consumible,consumible_8659,P.VIAJE1,-3531.0,201606,especifico,V010,G009,,P020,,,
A001081,2016-06-04,P.VIAJE,consumible,consumible_8459,P.VIAJE1,-3178.5,201606,especifico,V010,G009,,P020,,,
A001082,2016-06-05,P.VIAJE,consumible,consumible_9516,P.VIAJE4,-3601.5,201606,especifico,V010,G009,,P020,,,
A001083,2016-06-05,P.VIAJE,consumible,consumible_11130,P.VIAJE10,-1980.0,201606,especifico,V010,G009,,P020,,,
A001084,2016-06-05,P.VIAJE,consumible,consumible_11910,P.VIAJE10,-1416.0,201606,especifico,V010,G009,,P020,,,
A001086,2016-06-06,P.GUSTOS,gustos,gustos_4821,P.GUSTOS3,-35753.025,201606,especifico,,,,,P.GUSTOS,,P012
A001096,2016-06-11,P.FORMAL,necesidad,necesidad_20,P.FORMAL7,-172236.09,201606,especifico,,,,,P.FORMAL,P015,
A001100,2016-06-13,P.GUSTOS,gustos,gustos_4635,P.GUSTOS9,-49920.0,201606,especifico,,,,,P.GUSTOS,,P012
A001101,2016-06-13,P.GUSTOS,gustos,"6.gustos_6",P.GUSTOS5,-50272.5,201606,especifico,,,P006,,,,
A001118,2016-06-16,P.GUSTOS,gustos,gustos_4812,P.GUSTOS2,-23976.0,201606,especifico,,,,,P.GUSTOS,,P012
A001123,2016-06-18,P.VIAJE,deuda,deuda: nombre_16,P.VIAJE7,42294.0,201606,especifico,V013,G011,,P019,,,
A001210,2016-07-21,P.SALUD,necesidad,necesidad_10,P.SALUD4,-69013.515,201607,especifico,,,,,P.SALUD,,P014
A001243,2016-07-29,P.SALUD,necesidad,necesidad_1,P.SALUD8,-119856.0,201607,especifico,,,,,P.SALUD,,P014
A001253,2016-08-01,P.GUSTOS,gustos,"7.gustos_19",P.GUSTOS5,-63456.0,201608,especifico,,,P007,,,,
A001282,2016-08-11,P.GUSTOS,gustos,"2.gustos_18",P.GUSTOS6,-200649.0,201608,especifico,,,P002,,,,
A001283,2016-08-12,P.GUSTOS,gustos,"7.gustos_3",P.GUSTOS10,-63456.0,201608,especifico,,,P007,,,,
A001349,2016-09-07,P.VIAJE,necesidad,necesidad_3,P.VIAJE6,-91301.385,201609,especifico,V011,G010,,P021,,,
A001354,2016-09-09,P.FORMAL,transporte,transporte_5,P.FORMAL6,-170475.0,201609,especifico,,,,,P.FORMAL,P011,
A001385,2016-09-17,P.VIAJE,transporte,transporte_11,P.VIAJE7,-1416.0,201609,especifico,V011,G010,,P021,,,
A001386,2016-09-17,P.VIAJE,transporte,transporte_12,P.VIAJE7,-7061.64,201609,especifico,V011,G010,,P021,,,
A001387,2016-09-17,P.VIAJE,recreacion,recreacion_13,P.VIAJE6,-7056.0,201609,especifico,V011,G010,,P021,,,
A001388,2016-09-17,P.VIAJE,consumible,consumible_10783,P.VIAJE7,-8237.58,201609,especifico,V011,G010,,P021,,,
A001389,2016-09-17,P.VIAJE,gustos,gustos_5594,P.VIAJE6,-51747.36,201609,especifico,V011,G010,,P021,,,
A001390,2016-09-17,P.VIAJE,recreacion,recreacion_14,P.VIAJE2,-51747.36,201609,especifico,V011,G010,,P021,,,
A001391,2016-09-17,P.VIAJE,regalo,regalo: nombre_10,P.VIAJE8,-7061.64,201609,especifico,V011,G010,,P021,,,
A001392,2016-09-17,P.VIAJE,regalo,regalo: nombre_11,P.VIAJE1,-7061.64,201609,especifico,V011,G010,,P021,,,
A001393,2016-09-17,P.VIAJE,recreacion,recreacion_15,P.VIAJE1,-5885.700000000001,201609,especifico,V011,G010,,P021,,,
A001394,2016-09-18,P.VIAJE,consumible,consumible_9685,P.VIAJE5,-17631.0,201609,especifico,V012,G010,,P021,,,
A001395,2016-09-18,P.VIAJE,transporte,transporte_16,P.VIAJE4,-14106.0,201609,especifico,V012,G010,,P021,,,
A001396,2016-09-18,P.VIAJE,necesidad,necesidad_17,P.VIAJE7,-36483.405,201609,especifico,V013,G011,,P019,,,
A001399,2016-09-20,P.FORMAL,transporte,transporte_18,P.FORMAL6,-238296.0,201609,especifico,,,,,P.FORMAL,P011,
A001400,2016-09-20,P.FORMAL,transporte,transporte_19,P.FORMAL1,-82491.0,201609,especifico,,,,,P.FORMAL,P011,
A001406,2016-09-23,P.VIAJE,transporte,transporte_20,P.VIAJE9,-21156.0,201609,especifico,V013,G011,,P019,,,
A001407,2016-09-23,P.VIAJE,transporte,transporte_1,P.VIAJE10,-2473.5,201609,especifico,V013,G011,,P019,,,
A001408,2016-09-23,P.VIAJE,transporte,transporte_2,P.VIAJE9,-38076.0,201609,especifico,V013,G011,,P019,,,
A001409,2016-09-23,P.VIAJE,transporte,transporte_3,P.VIAJE7,-19041.0,201609,especifico,V013,G011,,P019,,,
A001410,2016-09-23,P.VIAJE,necesidad,"5.necesidad_1",P.VIAJE6,-101420.25,201609,especifico,V013,G011,P005,,,,
A001411,2016-09-23,P.VIAJE,necesidad,"1.necesidad_17",P.VIAJE7,-71785.575,201609,especifico,V013,G011,P001,,,,
A001412,2016-09-23,P.VIAJE,necesidad,"2.necesidad_18",P.VIAJE4,-26452.665,201609,especifico,V013,G011,P002,,,,
A001413,2016-09-23,P.VIAJE,necesidad,necesidad_4,P.VIAJE7,-8825.55,201609,especifico,V013,G011,,P019,,,
A001414,2016-09-23,P.VIAJE,necesidad,necesidad_5,P.VIAJE5,-30458.475,201609,especifico,V013,G011,,P019,,,
A001415,2016-09-23,P.VIAJE,necesidad,necesidad_6,P.VIAJE6,-30459.18,201609,especifico,V013,G011,,P019,,,
A001416,2016-09-23,P.VIAJE,necesidad,necesidad_7,P.VIAJE7,-30459.18,201609,especifico,V013,G011,,P019,,,
A001417,2016-09-23,P.VIAJE,necesidad,necesidad_8,P.VIAJE8,-11765.400000000001,201609,especifico,V013,G011,,P019,,,
A001418,2016-09-23,P.VIAJE,necesidad,necesidad_9,P.VIAJE9,-11765.400000000001,201609,especifico,V013,G011,,P019,,,
A001419,2016-09-23,P.VIAJE,necesidad,necesidad_10,P.VIAJE10,-11765.400000000001,201609,especifico,V013,G011,,P019,,,
A001420,2016-09-23,P.VIAJE,necesidad,necesidad_11,P.VIAJE1,-11765.400000000001,201609,especifico,V013,G011,,P019,,,
A001421,2016-09-23,P.VIAJE,necesidad,necesidad_12,P.VIAJE2,-9813.255000000001,201609,especifico,V013,G011,,P019,,,
A001422,2016-09-23,P.VIAJE,necesidad,necesidad_13,P.VIAJE3,-9813.255000000001,201609,especifico,V013,G011,,P019,,,
A001423,2016-09-23,P.VIAJE,regalo,regalo: nombre_17,P.VIAJE1,-19620.510000000002,201609,especifico,V013,G011,,P019,,,
A001424,2016-09-23,P.VIAJE,consumible,consumible_7624,P.VIAJE6,-14117.28,201609,especifico,V013,G011,,P019,,,
A001425,2016-09-24,P.VIAJE,necesidad,necesidad_14,P.VIAJE8,-8853.045,201609,especifico,V013,G011,,P019,,,
A001426,2016-09-24,P.VIAJE,necesidad,necesidad_15,P.VIAJE9,-8853.045,201609,especifico,V013,G011,,P019,,,
A001427,2016-09-24,P.VIAJE,necesidad,necesidad_16,P.VIAJE10,-8853.045,201609,especifico,V013,G011,,P019,,,
A001428,2016-09-24,P.VIAJE,necesidad,necesidad_17,P.VIAJE2,-16221.705,201609,especifico,V013,G011,,P019,,,
A001429,2016-09-24,P.VIAJE,necesidad,necesidad_18,P.VIAJE4,-16222.41,201609,especifico,V013,G011,,P019,,,
A001430,2016-09-24,P.VIAJE,necesidad,necesidad_19,P.VIAJE6,-16222.41,201609,especifico,V013,G011,,P019,,,
A001431,2016-09-24,P.VIAJE,necesidad,necesidad_20,P.VIAJE7,-16222.41,201609,especifico,V013,G011,,P019,,,
A001432,2016-09-24,P.VIAJE,necesidad,necesidad_1,P.VIAJE8,-16222.41,201609,especifico,V013,G011,,P019,,,
A001433,2016-09-24,P.VIAJE,necesidad,necesidad_2,P.VIAJE6,-23065.844999999998,201609,especifico,V013,G011,,P019,,,
A001434,2016-09-24,P.VIAJE,necesidad,necesidad_3,P.VIAJE10,-14074.275000000001,201609,especifico,V013,G011,,P019,,,
A001435,2016-09-24,P.VIAJE,necesidad,necesidad_4,P.VIAJE1,-14074.275000000001,201609,especifico,V013,G011,,P019,,,
A001436,2016-09-24,P.VIAJE,necesidad,necesidad_5,P.VIAJE2,-14074.275000000001,201609,especifico,V013,G011,,P019,,,
A001437,2016-09-24,P.VIAJE,necesidad,necesidad_6,P.VIAJE1,-27876.06,201609,especifico,V013,G011,,P019,,,
A001438,2016-09-24,P.VIAJE,necesidad,necesidad_7,P.VIAJE7,-8225.595,201609,especifico,V013,G011,,P019,,,
A001439,2016-09-24,P.VIAJE,recreacion,recreacion_8,P.VIAJE8,-65599.905,201609,especifico,V013,G011,,P019,,,
A001440,2016-09-24,P.VIAJE,gustos,gustos_5507,P.VIAJE3,-9378.27,201609,especifico,V013,G011,,P019,,,
A001441,2016-09-24,P.VIAJE,gustos,gustos_5506,P.VIAJE4,-5062.26,201609,especifico,V013,G011,,P019,,,
A001442,2016-09-24,P.VIAJE,necesidad,necesidad_9,P.VIAJE6,-35284.2,201609,especifico,V013,G011,,P019,,,
A001443,2016-09-24,P.VIAJE,regalo,regalo: nombre_9,P.VIAJE9,-5885.700000000001,201609,especifico,V013,G011,,P019,,,
A001444,2016-09-24,P.VIAJE,gustos,gustos_5501,P.VIAJE9,-5885.700000000001,201609,especifico,V013,G011,,P019,,,
A001445,2016-09-25,P.VIAJE,transporte,transporte_10,P.VIAJE10,-10589.460000000001,201609,especifico,V013,G011,,P019,,,
A001446,2016-09-25,P.VIAJE,necesidad,necesidad_11,P.VIAJE5,-11202.81,201609,especifico,V013,G011,,P019,,,
A001447,2016-09-25,P.VIAJE,necesidad,necesidad_12,P.VIAJE6,-11202.81,201609,especifico,V013,G011,,P019,,,
A001448,2016-09-25,P.VIAJE,necesidad,necesidad_13,P.VIAJE7,-11202.81,201609,especifico,V013,G011,,P019,,,
A001449,2016-09-25,P.VIAJE,necesidad,necesidad_14,P.VIAJE2,-15152.22,201609,especifico,V013,G011,,P019,,,
A001450,2016-09-25,P.VIAJE,necesidad,necesidad_15,P.VIAJE3,-15152.22,201609,especifico,V013,G011,,P019,,,
A001451,2016-09-25,P.VIAJE,necesidad,necesidad_16,P.VIAJE6,-15234.0,201609,especifico,V013,G011,,P019,,,
A001452,2016-09-25,P.VIAJE,regalo,regalo: nombre_7,P.VIAJE1,-20907.135000000002,201609,especifico,V013,G011,,P019,,,
A001453,2016-09-25,P.VIAJE,necesidad,necesidad_17,P.VIAJE5,36471.405,201609,especifico,V013,G011,,P019,,,
A001475,2016-09-30,P.GUSTOS,gustos,gustos: nombre_6,P.GUSTOS4,-105756.0,201609,especifico,,,,,P.GUSTOS,,P012
A001493,2016-10-10,P.VIAJE,deuda,deuda: nombre_12,P.VIAJE9,-56406.0,201610,especifico,V013,G011,,P019,,,
A001494,2016-10-10,P.VIAJE,transporte,transporte_7,P.VIAJE1,-413333.4,201610,especifico,V021,G016,,P022,,,
A001495,2016-10-10,P.VIAJE,transporte,transporte_8,P.VIAJE5,-35256.0,201610,especifico,V021,G016,,P022,,,
A001499,2016-10-11,P.VIAJE,transporte,transporte_10,P.VIAJE8,-39934.38,201610,especifico,V019,G016,,P022,,,
