"id","tipo_razon_uso","grupo_viaje","id_presupuesto"
A000980,especifico,G011,P019
A000981,especifico,G008,P080
A000982,especifico,G008,P080
A000983,especifico,G008,P080
A000984,especifico,G008,P080
A000985,especifico,G008,P080
A000986,regular,,
A000987,regular,,
A000998,regular,,
A000999,regular,,
A001000,especifico,G011,P019
A001001,especifico,G011,P019
A001002,regular,,
A001003,regular,,
A001004,regular,,
A001005,regular,,
A001006,regular,,
A001007,regular,,
A001008,especifico,G011,P019
A001009,especifico,G011,P019
A001010,regular,,
A001011,regular,,
A001012,regular,,
A001013,regular,,
A001014,regular,,
A001015,regular,,
A001016,regular,,
A001017,regular,,
A001018,regular,,
A001019,regular,,
A001020,especifico,,P011
A001021,especifico,,P011
A001028,regular,,
A001029,regular,,
A001030,regular,,
A001031,especifico,G011,P019
A001034,regular,,
A001035,regular,,
A001036,regular,,
A001037,regular,,
A001038,regular,,
A001039,regular,,
A001040,regular,,
A001041,regular,,
A001042,regular,,
A001043,regular,,
A001044,regular,,
A001045,regular,,
A001046,regular,,
A001047,regular,,
A001048,regular,,
A001050,regular,,
A001063,regular,,
A001064,regular,,
A001065,regular,,
A001066,regular,,
A001067,regular,,
A001068,regular,,
A001069,regular,,
A001070,regular,,
A001073,especifico,G009,P020
A001074,especifico,G009,P020
A001075,especifico,G009,P020
A001076,especifico,G009,P020
A001077,especifico,G009,P020
A001078,especifico,G009,P020
A001079,especifico,G009,P020
A001080,especifico,G009,P020
A001081,especifico,G009,P020
A001082,especifico,G009,P020
A001083,especifico,G009,P020
A001084,especifico,G009,P020
A001085,regular,,
A001086,especifico,,P012
A001087,regular,,
A001090,regular,,
A001091,regular,,
A001092,regular,,
A001093,regular,,
A001094,regular,,
A001095,regular,,
A001096,especifico,,P015
A001097,regular,,
A001098,regular,,
A001099,regular,,
A001100,especifico,,P012
A001101,especifico,,P006
A001102,regular,,
A001103,regular,,
A001104,regular,,
A001105,regular,,
A001106,regular,,
A001114,regular,,
A001115,regular,,
A001116,regular,,
A001117,regular,,
A001118,especifico,,P012
A001119,regular,,
A001120,regular,,
A001121,regular,,
A001122,regular,,
A001123,especifico,G011,P019
A001124,regular,,
A001125,regular,,
A001126,regular,,
A001127,regular,,
A001128,regular,,
A001129,regular,,
A001130,regular,,
A001131,regular,,
A001134,regular,,
A001135,regular,,
A001138,regular,,
A001139,regular,,
A001140,regular,,
A001141,regular,,
A001142,regular,,
A001143,regular,,
A001144,regular,,
A001156,regular,,
A001157,regular,,
A001158,regular,,
A001159,regular,,
A001160,regular,,
A001161,regular,,
A001162,regular,,
A001163,regular,,
A001166,regular,,
A001167,regular,,
A001168,regular,,
A001169,regular,,
A001170,regular,,
A001171,regular,,
A001172,regular,,
A001173,regular,,
A001174,regular,,
A001175,regular,,
A001176,regular,,
A001177,regular,,
A001178,regular,,
A001181,regular,,
A001182,regular,,
A001183,regular,,
A001184,regular,,
A001185,regular,,
A001186,regular,,
A001187,regular,,
A001188,regular,,
A001190,regular,,
A001199,regular,,
A001200,regular,,
A001201,regular,,
A001202,regular,,
A001203,regular,,
A001204,regular,,
A001205,regular,,
A001207,regular,,
A001208,regular,,
A001209,regular,,
A001210,especifico,,P014
A001213,regular,,
A001214,regular,,
A001215,regular,,
A001216,regular,,
A001217,regular,,
A001218,regular,,
A001219,regular,,
A001220,regular,,
A001221,regular,,
A001222,regular,,
A001223,regular,,
A001224,regular,,
A001225,regular,,
A001226,regular,,
A001227,regular,,
A001228,regular,,
A001229,regular,,
A001230,regular,,
A001240,regular,,
A001243,especifico,,P014
A001244,regular,,
A001245,regular,,
A001246,regular,,
A001247,regular,,
A001248,regular,,
A001249,regular,,
A001250,regular,,
A001251,regular,,
A001252,regular,,
A001253,especifico,,P007
A001254,regular,,
A001255,regular,,
A001256,regular,,
A001257,regular,,
A001258,regular,,
A001259,regular,,
A001260,regular,,
A001261,regular,,
A001262,regular,,
A001263,regular,,
A001264,regular,,
A001266,regular,,
A001267,regular,,
A001268,regular,,
A001269,regular,,
A001270,regular,,
A001271,regular,,
A001272,regular,,
A001273,regular,,
A001274,regular,,
A001275,regular,,
A001276,regular,,
A001279,regular,,
A001280,regular,,
A001281,regular,,
A001282,especifico,,P002
A001283,especifico,,P007
A001284,regular,,
A001285,regular,,
A001286,regular,,
A001287,regular,,
A001288,regular,,
A001289,regular,,
A001290,regular,,
A001291,regular,,
A001292,regular,,
A001293,regular,,
A001294,regular,,
A001306,regular,,
A001309,regular,,
A001311,regular,,
A001312,regular,,
A001313,regular,,
A001314,regular,,
A001315,regular,,
A001317,regular,,
A001318,regular,,
A001319,regular,,
A001320,regular,,
A001321,regular,,
A001322,regular,,
A001323,regular,,
A001324,regular,,
A001325,regular,,
A001326,regular,,
A001327,regular,,
A001328,regular,,
A001329,regular,,
A001330,regular,,
A001344,regular,,
A001345,regular,,
A001346,regular,,
A001347,regular,,
A001348,regular,,
A001349,especifico,G010,P021
A001350,regular,,
A001351,regular,,
A001354,especifico,,P011
A001355,regular,,
A001356,regular,,
A001357,regular,,
A001358,regular,,
A001359,regular,,
A001360,regular,,
A001361,regular,,
A001362,regular,,
A001363,regular,,
A001375,regular,,
A001381,regular,,
A001382,regular,,
A001383,regular,,
A001385,especifico,G010,P021
A001386,especifico,G010,P021
A001387,especifico,G010,P021
A001388,especifico,G010,P021
A001389,especifico,G010,P021
A001390,especifico,G010,P021
A001391,especifico,G010,P021
A001392,especifico,G010,P021
A001393,especifico,G010,P021
A001394,especifico,G010,P021
A001395,especifico,G010,P021
A001396,especifico,G011,P019
A001399,especifico,,P011
A001400,especifico,,P011
A001401,regular,,
A001406,especifico,G011,P019
A001407,especifico,G011,P019
A001408,especifico,G011,P019
A001409,especifico,G011,P019
A001410,especifico,G011,P005
A001411,especifico,G011,P001
A001412,especifico,G011,P002
A001413,especifico,G011,P019
A001414,especifico,G011,P019
A001415,especifico,G011,P019
A001416,especifico,G011,P019
A001417,especifico,G011,P019
A001418,especifico,G011,P019
A001419,especifico,G011,P019
A001420,especifico,G011,P019
A001421,especifico,G011,P019
A001422,especifico,G011,P019
A001423,especifico,G011,P019
A001424,especifico,G011,P019
A001425,especifico,G011,P019
A001426,especifico,G011,P019
A001427,especifico,G011,P019
A001428,especifico,G011,P019
A001429,especifico,G011,P019
A001430,especifico,G011,P019
A001431,especifico,G011,P019
A001432,especifico,G011,P019
A001433,especifico,G011,P019
A001434,especifico,G011,P019
A001435,especifico,G011,P019
A001436,especifico,G011,P019
A001437,especifico,G011,P019
A001438,especifico,G011,P019
A001439,especifico,G011,P019
A001440,especifico,G011,P019
A001441,especifico,G011,P019
A001442,especifico,G011,P019
A001443,especifico,G011,P019
A001444,especifico,G011,P019
A001445,especifico,G011,P019
A001446,especifico,G011,P019
A001447,especifico,G011,P019
A001448,especifico,G011,P019
A001449,especifico,G011,P019
A001450,especifico,G011,P019
A001451,especifico,G011,P019
A001452,especifico,G011,P019
A001453,especifico,G011,P019
A001454,regular,,
A001455,regular,,
A001456,regular,,
A001457,regular,,
A001458,regular,,
A001459,regular,,
A001461,regular,,
A001472,regular,,
A001475,especifico,,P012
A001476,regular,,
A001477,regular,,
A001478,regular,,
A001479,regular,,
A001480,regular,,
A001481,regular,,
A001482,regular,,
A001483,regular,,
A001486,regular,,
A001487,regular,,
A001488,regular,,
A001489,regular,,
A001490,regular,,
A001491,regular,,
A001492,regular,,
A001493,especifico,G011,P019
A001494,especifico,G016,P022
A001495,especifico,G016,P022
A001496,regular,,
A001499,especifico,G016,P022
A001502,regular,,
A001503,regular,,
A001504,especifico,G016,P022
A001505,especifico,,P012
A001506,especifico,G016,P022
A001518,regular,,
A001519,regular,,
A001520,regular,,
A001525,regular,,
A001526,regular,,
A001527,regular,,
A001528,regular,,
A001529,regular,,
A001530,regular,,
A001531,regular,,
A001532,regular,,
A001533,regular,,
A001534,regular,,
A001537,especifico,,P012
A001538,especifico,,P012
A001539,regular,,
A001540,regular,,
A001541,regular,,
A001544,especifico,,P012
A001545,especifico,,P012
A001546,regular,,
A001547,regular,,
A001548,especifico,,P012
A001549,regular,,
A001563,regular,,
A001564,regular,,
A001565,regular,,
A001566,regular,,
A001567,regular,,
A001568,regular,,
A001569,regular,,
A001570,regular,,
A001571,regular,,
A001572,regular,,
A001573,regular,,
A001574,regular,,
A001592,regular,,
A001593,regular,,
A001596,regular,,
A001597,regular,,
A001598,regular,,
A001601,regular,,
A001602,regular,,
A001603,regular,,
A001604,regular,G012,
A001605,regular,,
A001606,regular,,
A001607,regular,,
A001608,regular,,
A001611,regular,,
A001612,regular,,
A001613,regular,,
A001614,regular,,
A001617,regular,,
A001618,regular,,
A001619,regular,,
A001620,regular,,
A001621,regular,,
A001622,regular,,
A001623,regular,,
A001624,regular,,
A001638,regular,,
A001639,regular,,
A001640,regular,,
A001641,regular,,
A001642,regular,,
A001643,especifico,,P013
A001645,especifico,G014,P023
A001646,especifico,G016,P022
A001647,regular,,
A001648,regular,,
A001649,regular,,
A001650,regular,,
A001651,regular,,
A001654,regular,,
A001655,regular,,
A001657,regular,,
A001658,regular,G013,
A001659,regular,G013,
A001674,regular,,
A001679,regular,,
A001680,regular,,
A001681,regular,,
A001682,regular,,
A001683,regular,,
A001684,regular,,
A001685,regular,,
A001686,especifico,,P013
A001688,especifico,,P013
A001691,especifico,G014,P023
A001692,especifico,G014,P023
A001693,especifico,G014,P023
A001694,especifico,G014,P023
A001695,especifico,G014,P023
A001696,especifico,G014,P023
A001697,especifico,G014,P023
A001698,especifico,G014,P023
A001699,especifico,G014,P023
A001700,especifico,G014,P023
A001701,especifico,G014,P023
A001702,regular,,
A001703,regular,,
A001704,regular,,
A001705,especifico,G015,P024
A001706,especifico,G015,P024
A001707,regular,,
A001721,regular,,
A001722,regular,,
A001723,regular,,
A001724,regular,,
A001725,regular,,
A001726,regular,,
A001727,regular,,
A001728,especifico,G016,P022
A001729,regular,,
A001730,regular,,
A001731,regular,,
A001732,regular,,
A001733,regular,,
A001734,regular,,
A001735,regular,,
A001736,regular,,
A001737,regular,,
A001738,regular,,
A001739,regular,,
A001755,regular,,
A001756,regular,,
A001757,regular,,
A001758,regular,,
A001759,regular,,
A001760,regular,,
A001761,regular,,
A001762,regular,,
A001763,regular,,
A001764,regular,,
A001765,regular,,
A001768,especifico,G015,P024
A001769,regular,,
A001772,regular,,
A001773,regular,,
A001774,especifico,G015,P024
A001775,especifico,G015,P024
A001776,especifico,G015,P024
A001778,especifico,G015,P024
A001779,especifico,G015,P024
A001780,regular,,
A001781,regular,,
A001782,regular,,
A001783,regular,,
A001786,especifico,,P011
A001787,regular,,
A001788,regular,,
A001789,regular,,
A001790,regular,,
A001791,regular,,
A001792,regular,,
A001793,regular,,
A001794,regular,,
A001795,regular,,
A001798,regular,,
A001799,regular,,
A001800,regular,,
A001801,regular,,
A001805,regular,,
A001806,regular,,
A001809,regular,,
A001810,regular,,
A001812,regular,,
A001813,regular,,
A001814,regular,,
A001815,regular,,
A001816,regular,,
A001817,regular,,
A001818,regular,,
A001819,regular,,
A001820,regular,,
A001821,regular,,
A001822,regular,G016,
A001823,regular,,
A001824,regular,,
A001825,regular,,
A001826,regular,,
A001829,regular,,
A001830,regular,,
A001831,regular,,
A001832,regular,,
A001833,regular,,
A001834,regular,,
A001835,regular,,
A001836,regular,,
A001838,regular,,
A001855,regular,,
A001856,regular,,
A001857,regular,,
A001858,regular,,
A001859,regular,,
A001860,regular,,
A001861,regular,,
A001862,regular,,
A001863,regular,,
A001864,regular,,
A001865,regular,,
A001866,regular,,
A001867,regular,,
A001868,regular,,
A001869,regular,,
A001870,regular,,
A001871,regular,,
A001872,regular,,
A001873,regular,,
A001874,regular,,
A001875,regular,,
A001889,regular,,
A001890,regular,,
A001893,regular,,
A001894,regular,,
A001895,regular,,
A001896,regular,,
A001897,regular,,
A001898,regular,,
A001899,regular,,
A001900,regular,,
A001901,regular,,
A001902,regular,,
A001903,regular,,
A001904,regular,,
A001905,regular,,
A001906,regular,,
A001907,regular,,
A001908,regular,,
A001909,regular,,
A001910,regular,,
A001911,regular,,
A001912,regular,,
A001913,regular,,
A001914,regular,,
A001917,especifico,G016,P022
A001918,especifico,G016,P022
A001919,especifico,G016,P022
A001920,especifico,G016,P022
A001921,especifico,G016,P022
A001922,especifico,G016,P022
A001923,especifico,G016,P022
A001924,especifico,G016,P022
A001925,especifico,G016,P022
A001926,especifico,G016,P022
A001927,especifico,G016,P022
A001928,especifico,G016,P022
A001929,especifico,G016,P022
A001930,especifico,G016,P022
A001931,especifico,G016,P022
A001932,especifico,G016,P022
A001933,especifico,G016,P022
A001934,especifico,G016,P022
A001935,especifico,G016,P022
A001936,especifico,G016,P022
A001937,especifico,G016,P022
A001938,especifico,G016,P022
A001939,especifico,G016,P022
A001940,especifico,G016,P022
A001941,especifico,G016,P022
A001941-1,especifico,G016,P022
A001941-2,especifico,G016,P022
A001942,especifico,G016,P022
A001943,especifico,G016,P022
A001946,especifico,G016,P022
A001947,especifico,G016,P022
A001948,especifico,G016,P022
A001949,especifico,G016,P022
A001950,especifico,G016,P022
A001951,especifico,G016,P022
A001952,especifico,G016,P022
A001953,especifico,G016,P022
A001954,especifico,G016,P022
A001955,especifico,G016,P022
A001956,especifico,G016,P022
A001957,especifico,G016,P022
A001958,especifico,G016,P022
A001959,especifico,G016,P022
A001960,especifico,G016,P022
A001961,especifico,G016,P022
A001962,especifico,G016,P022
A001963,especifico,G016,P022
A001964,especifico,G016,P022
A001965,especifico,G016,P022
A001966,especifico,G016,P022
A001967,especifico,G016,P022
A001968,especifico,G016,P022
A001969,especifico,G016,P022
A001971,regular,,
A001972,especifico,G016,P022
A001973,especifico,G016,P022
A001974,especifico,G016,P022
A001975,especifico,G016,P022
A001976,especifico,G016,P022
A001977,especifico,G016,P022
A001978,especifico,G016,P022
A001979,especifico,G016,P022
A001980,especifico,G016,P022
A001981,especifico,G016,P022
A001983,regular,,
A001984,especifico,G016,P022
A001985,especifico,G016,P022
A001986,especifico,G016,P022
A001987,especifico,G016,P022
A001988,especifico,G016,P022
A001989,especifico,G016,P022
A001990,especifico,G016,P022
A001991,especifico,G016,P022
A001992,especifico,G016,P022
A001993,especifico,G016,P022
A001994,especifico,G016,P022
A001995,especifico,G016,P022
A001996,especifico,G016,P022
A001997,especifico,G016,P022
A001998,especifico,G016,P022
A001999,especifico,G016,P022
A002000,especifico,G016,P022
A002001,especifico,G016,P022
A002002,especifico,G016,P022
A002003,especifico,G016,P022
A002004,especifico,G016,P022
A002005,especifico,G016,P022
A002006,especifico,G016,P022
A002007,especifico,G016,P022
A002008,especifico,G016,P022
A002009,especifico,G016,P022
A002010,especifico,G016,P022
A002011,especifico,G016,P022
A002012,especifico,G016,P022
A002013,especifico,G016,P022
A002014,especifico,G016,P022
A002015,especifico,G016,P022
A002016,especifico,G016,P022
A002017,especifico,G016,P022
A002018,especifico,G016,P022
A002019,especifico,G016,P022
A002020,especifico,G016,P022
A002021,especifico,G016,P022
A002023,especifico,G016,P022
A002024,especifico,G016,P022
A002025,especifico,G016,P022
A002026,especifico,G016,P022
A002027,especifico,G016,P022
A002036,regular,,
A002037,regular,,
A002038,especifico,G016,P022
A002039,regular,,
A002040,regular,,
A002041,regular,,
A002044,especifico,G020,P026
A002045,especifico,G020,P026
A002046,especifico,G017,P025
A002049,especifico,G017,P025
A002050,especifico,G017,P025
A002051,especifico,G017,P025
A002052,especifico,G017,P025
A002070,regular,,
A002071,regular,,
A002072,regular,,
A002073,regular,,
A002074,regular,,
A002075,regular,,
A002076,regular,,
A002077,regular,,
A002078,regular,,
A002079,regular,,
A002080,regular,,
A002081,regular,,
A002082,regular,,
A002083,regular,,
A002084,regular,,
A002085,regular,,
A002086,regular,,
A002087,regular,,
A002088,regular,,
A002089,regular,,
A002090,regular,,
A002091,regular,,
A002092,regular,,
A002093,regular,,
A002094,regular,,
A002095,regular,,
A002096,regular,,
A002100,regular,,
A002101,regular,,
A002102,regular,,
A002103,regular,,
A002104,regular,,
A002105,regular,,
A002106,regular,,
A002107,regular,,
A002108,regular,,
A002109,regular,,
A002110,regular,,
A002111,regular,,
A002112,regular,,
A002113,regular,,
A002114,regular,,
A002125,regular,,
