"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","metodo_pago","monto","id_viaje","id_deuda","periodo_fact_c_diaria","metodo_pago_general"
A000025,2015-05-07,INGRESO,transaccion,transaccion: nombre_2,INGRESO7,efectivo,7044.0,,,201505,efectivo
A000026,2015-05-07,HOGAR,hogar,hogar2053,HOGAR7,efectivo,699.0,,,201505,efectivo
A000027,2015-05-07,RECREACION,consumible,consumible_13049,RECREACION1,efectivo,-1768.5,,,201505,efectivo
A000028,2015-05-07,RECREACION,evento,evento_7839,RECREACION1,efectivo,-5293.5,,,201505,efectivo
A000029,2015-05-07,RECREACION,gustos,gustos: nombre_16,RECREACION1,efectivo,-2826.0,,,201505,efectivo
A000030,2015-05-08,INGRESO,transaccion,transaccion: nombre_3,INGRESO8,efectivo,7044.0,,,201505,efectivo
A000031,2015-05-09,NECESIDAD,necesidad,necesidad_13,NECESIDAD7,efectivo,-4941.0,,,201505,efectivo
A000032,2015-05-09,LIBRE,consumible,consumible_6663,LIBRE6,efectivo,-2121.0,,,201505,efectivo
A000033,2015-05-10,HOGAR,hogar,hogar2054,HOGAR8,efectivo,-3531.0,,,201505,efectivo
A000034,2015-05-10,DINERO,transaccion,transaccion_14,DINERO2,credito_3,36724.5,,,201505,credito
A000035,2015-05-10,DINERO,transaccion,transaccion_15,DINERO3,debito_4,-36736.5,,,201505,debito
A000036,2015-05-10,RECREACION,consumible,consumible_12803,RECREACION7,efectivo,-4941.0,,,201505,efectivo
A000037,2015-05-11,P.VIAJE,transporte,transporte_16,P.VIAJE7,credito_3,-137692.5,V005,,201505,credito
A000038,2015-05-11,NECESIDAD,necesidad,necesidad_17,NECESIDAD3,credito_3,-7309.095,,,201505,credito
A000039,2015-05-11,P.VIAJE,evento,evento_5846,P.VIAJE4,debito_1,-76886.25,V005,,201505,debito
A000040,2015-05-11,INGRESO,transaccion,transaccion: nombre_4,INGRESO9,efectivo,14094.0,,,201505,efectivo
A000041,2015-05-12,NECESIDAD,necesidad,necesidad_18,NECESIDAD1,efectivo,-7056.0,,,201505,efectivo
A000042,2015-05-13,INGRESO,transaccion,transaccion: nombre_5,INGRESO10,efectivo,14094.0,,,201505,efectivo
A000043,2015-05-13,SUSCRIPCION,necesidad,necesidad_19,SUSCRIPCION6,efectivo,-14106.0,,,201505,efectivo
A000044,2015-05-15,INGRESO,transaccion,transaccion_20,INGRESO7,debito_1,211494.0,,,201505,debito
A000045,2015-05-15,LIBRE,consumible,consumible_3843,LIBRE6,efectivo,-7056.0,V001,,201505,efectivo
A000046,2015-05-16,LIBRE,consumible,consumible_6636,LIBRE3,efectivo,-7056.0,,,201505,efectivo
A000047,2015-05-17,DINERO,transaccion,transaccion_568,DINERO6,efectivo,63444.0,,,201505,efectivo
A000048,2015-05-17,DINERO,transaccion,transaccion_569,DINERO7,debito_1,-63456.0,,,201505,debito
A000049,2015-05-17,INGRESO,inversion,ahorro_6,INGRESO4,efectivo,-35256.0,,,201505,efectivo
A000050,2015-05-17,INGRESO,inversion,ahorro_7,INGRESO5,efectivo,-17631.0,,,201505,efectivo
A000051,2015-05-17,RECREACION,consumible,consumible_9483,RECREACION7,efectivo,-10581.0,,,201505,efectivo
A000052,2015-05-18,INGRESO,transaccion,transaccion: nombre_6,INGRESO3,efectivo,7044.0,,,201505,efectivo
A000053,2015-05-19,INGRESO,transaccion,transaccion: nombre_7,INGRESO4,efectivo,7044.0,,,201505,efectivo
A000054,2015-05-20,RECREACION,evento,evento_7750,RECREACION10,efectivo,-14106.0,,,201505,efectivo
A000055,2015-05-20,INGRESO,transaccion,transaccion: nombre_8,INGRESO5,efectivo,7044.0,,,201505,efectivo
A000056,2015-05-21,INGRESO,transaccion,transaccion: nombre_9,INGRESO6,efectivo,7044.0,,,201505,efectivo
A000057,2015-05-22,INGRESO,transaccion,transaccion: nombre_10,INGRESO8,efectivo,7044.0,,,201505,efectivo
A000058,2015-05-22,LIBRE,consumible,consumible_2743,LIBRE6,efectivo,-2121.0,,,201505,efectivo
A000059,2015-05-22,LIBRE,consumible,consumible_5484,LIBRE5,efectivo,-1416.0,,,201505,efectivo
A000060,2015-05-22,RECREACION,consumible,consumible_10424,RECREACION6,efectivo,-3531.0,,,201505,efectivo
A000061,2015-05-22,INGRESO,inversion,ahorro_2,INGRESO10,debito_4,148044.0,,,201505,debito
A000062,2015-05-22,INGRESO,inversion,ahorro_3,INGRESO1,debito_1,-148056.0,,,201505,debito
A000063,2015-05-23,RECREACION,consumible,consumible_10595,RECREACION5,efectivo,-3178.5,,,201505,efectivo
A000064,2015-05-25,DINERO,transaccion,transaccion_1,DINERO4,credito_3,145224.0,,,201505,credito
A000065,2015-05-25,DINERO,transaccion,transaccion_2,DINERO5,debito_4,-145236.0,,,201505,debito
A000066,2015-05-25,INGRESO,transaccion,transaccion: nombre_11,INGRESO1,efectivo,7044.0,,,201505,efectivo
A000067,2015-05-26,INGRESO,transaccion,transaccion: nombre_12,INGRESO2,efectivo,7044.0,,,201505,efectivo
A000068,2015-05-26,INGRESO,inversion,ahorro_8,INGRESO6,efectivo,-17631.0,,,201505,efectivo
A000069,2015-05-27,INGRESO,transaccion,transaccion: nombre_13,INGRESO4,efectivo,7044.0,,,201505,efectivo
A000070,2015-05-28,INGRESO,transaccion,transaccion: nombre_14,INGRESO5,efectivo,7044.0,,,201505,efectivo
A000071,2015-05-29,INGRESO,transaccion,transaccion: nombre_15,INGRESO6,efectivo,3519.0,,,201505,efectivo
A000072,2015-05-29,RECREACION,consumible,consumible_10421,RECREACION9,efectivo,-3531.0,,,201505,efectivo
A000073,2015-05-29,RECREACION,consumible,consumible_12052,RECREACION8,efectivo,-3531.0,,,201505,efectivo
A000074,2015-05-29,INGRESO,transaccion,transaccion_3,INGRESO8,debito_1,254606.16,,,201505,debito
A000075,2015-05-29,LIBRE,transaccion,transaccion_4,LIBRE9,efectivo,-3531.0,,,201505,efectivo
A000076,2015-06-01,INGRESO,transaccion,transaccion: nombre_16,INGRESO8,efectivo,3519.0,,,201506,efectivo
A000077,2015-06-02,INGRESO,transaccion,transaccion: nombre_17,INGRESO9,efectivo,7044.0,,,201506,efectivo
A000078,2015-06-03,INGRESO,transaccion,transaccion: nombre_18,INGRESO5,efectivo,7044.0,,,201506,efectivo
A000079,2015-06-04,INGRESO,transaccion,transaccion: nombre_19,INGRESO6,efectivo,14094.0,,,201506,efectivo
A000080,2015-06-05,INGRESO,transaccion,transaccion: nombre_20,INGRESO7,efectivo,7044.0,,,201506,efectivo
A000081,2015-06-06,DINERO,transaccion,transaccion_570,DINERO9,efectivo,246744.0,,,201506,efectivo
A000082,2015-06-06,DINERO,transaccion,transaccion_571,DINERO10,debito_1,-246756.0,,,201506,debito
A000083,2015-06-06,P.FORMAL,transporte,transporte_5,P.FORMAL3,efectivo,-98706.0,,,201506,efectivo
A000084,2015-06-06,P.GUSTOS,gustos,gustos: nombre_19,P.GUSTOS3,efectivo,-133956.0,,,201506,efectivo
A000085,2015-06-06,LIBRE,gustos,gustos_509,LIBRE10,efectivo,-1768.5,,,201506,efectivo
A000086,2015-06-06,INGRESO,inversion,ahorro_9,INGRESO7,efectivo,-42306.0,,,201506,efectivo
A000087,2015-06-06,HOGAR,hogar,hogar2055,HOGAR9,efectivo,-2121.0,,,201506,efectivo
A000088,2015-06-08,INGRESO,transaccion,transaccion: nombre_1,INGRESO8,efectivo,7044.0,,,201506,efectivo
A000089,2015-06-08,LIBRE,gustos,gustos_566,LIBRE3,credito_3,-17137.5,,,201506,credito
A000090,2015-06-08,P.GUSTOS,gustos,gustos_4668,P.GUSTOS6,debito_1,-75278.145,,,201506,debito
A000091,2015-06-09,INGRESO,transaccion,transaccion: nombre_2,INGRESO9,efectivo,7044.0,,,201506,efectivo
A000092,2015-06-09,RECREACION,evento,evento_7890,RECREACION10,efectivo,-3672.0,,,201506,efectivo
A000093,2015-06-10,INGRESO,transaccion,transaccion: nombre_3,INGRESO10,efectivo,7044.0,,,201506,efectivo
A000094,2015-06-10,HOGAR,hogar,hogar2056,HOGAR10,efectivo,-358.5,,,201506,efectivo
A000095,2015-06-11,INGRESO,transaccion,transaccion: nombre_4,INGRESO1,efectivo,7044.0,,,201506,efectivo
A000096,2015-06-11,RECREACION,recreacion,recreacion: nombre_18,RECREACION4,efectivo,-7056.0,,,201506,efectivo
A000097,2015-06-12,INGRESO,transaccion,transaccion: nombre_5,INGRESO3,efectivo,7044.0,,,201506,efectivo
A000098,2015-06-12,RECREACION,recreacion,recreacion: nombre_2,RECREACION5,efectivo,-711.0,,,201506,efectivo
A000099,2015-06-12,LIBRE,transaccion,transaccion_6,LIBRE1,efectivo,-2685.0,,,201506,efectivo
A000100,2015-06-12,RECREACION,evento,evento_7968,RECREACION2,efectivo,-3672.0,,,201506,efectivo
A000101,2015-06-12,RECREACION,consumible,consumible_12876,RECREACION4,efectivo,-9876.0,,,201506,efectivo
A000102,2015-06-13,NECESIDAD,necesidad,necesidad_7,NECESIDAD8,efectivo,-4941.0,,,201506,efectivo
A000103,2015-06-13,HOGAR,hogar,hogar2057,HOGAR1,efectivo,-3531.0,,,201506,efectivo
A000104,2015-06-13,DINERO,transaccion,transaccion_8,DINERO6,credito_3,17125.5,,,201506,credito
A000105,2015-06-13,DINERO,transaccion,transaccion_9,DINERO7,debito_4,-17137.5,,,201506,debito
A000106,2015-06-13,DINERO,transaccion,"5.transaccion_13",DINERO1,credito_3,34949.31,,,201506,credito
A000107,2015-06-13,DINERO,transaccion,"6.transaccion_14",DINERO1,debito_4,-34961.31,,,201506,debito
A000108,2015-06-13,RECREACION,consumible,consumible_12125,RECREACION5,efectivo,-3178.5,,,201506,efectivo
A000109,2015-06-13,RECREACION,consumible,consumible_13046,RECREACION4,efectivo,-2473.5,,,201506,efectivo
A000110,2015-06-13,RECREACION,consumible,consumible_9660,RECREACION10,efectivo,-3531.0,,,201506,efectivo
A000111,2015-06-15,INGRESO,transaccion,transaccion: nombre_6,INGRESO4,efectivo,7044.0,,,201506,efectivo
A000112,2015-06-15,INGRESO,transaccion,transaccion_10,INGRESO9,debito_1,253794.0,,,201506,debito
A000113,2015-06-15,SUSCRIPCION,necesidad,necesidad_11,SUSCRIPCION7,debito_1,-14106.0,,,201506,debito
A000114,2015-06-16,INGRESO,transaccion,transaccion: nombre_7,INGRESO5,efectivo,7044.0,,,201506,efectivo
A000115,2015-06-17,INGRESO,transaccion,transaccion: nombre_8,INGRESO6,efectivo,7044.0,,,201506,efectivo
A000116,2015-06-18,INGRESO,transaccion,transaccion: nombre_9,INGRESO7,efectivo,7044.0,,,201506,efectivo
A000117,2015-06-18,NECESIDAD,necesidad,necesidad_12,NECESIDAD6,efectivo,-7056.0,,,201506,efectivo
A000118,2015-06-19,INGRESO,transaccion,transaccion: nombre_10,INGRESO8,efectivo,7044.0,,,201506,efectivo
A000119,2015-06-19,RECREACION,consumible,consumible_9901,RECREACION9,efectivo,-5998.5,,,201506,efectivo
A000120,2015-06-20,RECREACION,consumible,consumible_13896,RECREACION4,efectivo,-5998.5,,,201506,efectivo
A000121,2015-06-21,HOGAR,hogar,hogar2058,HOGAR2,efectivo,-2826.0,,,201506,efectivo
A000122,2015-06-21,RECREACION,consumible,consumible_13448,RECREACION2,efectivo,-10581.0,,,201506,efectivo
A000123,2015-06-21,RECREACION,evento,evento_7976,RECREACION4,efectivo,-3531.0,,,201506,efectivo
A000124,2015-06-21,DINERO,transaccion,transaccion_572,DINERO1,efectivo,91644.0,,,201506,efectivo
A000125,2015-06-21,DINERO,transaccion,transaccion_573,DINERO2,debito_1,-91656.0,,,201506,debito
A000126,2015-06-21,LIBRE,consumible,consumible_2777,LIBRE2,efectivo,-1416.0,,,201506,efectivo
A000127,2015-06-21,INGRESO,inversion,ahorro_10,INGRESO8,efectivo,-35256.0,,,201506,efectivo
A000128,2015-06-21,INGRESO,inversion,ahorro_1,INGRESO9,efectivo,-35256.0,,,201506,efectivo
A000129,2015-06-21,INGRESO,inversion,ahorro_2,INGRESO10,efectivo,-21156.0,,,201506,efectivo
A000130,2015-06-22,INGRESO,transaccion,transaccion: nombre_11,INGRESO9,efectivo,7044.0,,,201506,efectivo
A000131,2015-06-23,INGRESO,transaccion,transaccion: nombre_12,INGRESO10,efectivo,7044.0,,,201506,efectivo
A000132,2015-06-23,RECREACION,regalo,regalo: nombre_7,RECREACION4,credito_3,-25809.0,,,201506,credito
A000133,2015-06-24,INGRESO,transaccion,transaccion: nombre_13,INGRESO2,efectivo,7044.0,,,201506,efectivo
A000134,2015-06-24,NECESIDAD,necesidad,necesidad_13,NECESIDAD4,credito_3,-7309.095,,,201506,credito
A000135,2015-06-24,NECESIDAD,necesidad,necesidad_14,NECESIDAD5,debito_4,7297.095,,,201506,debito
A000136,2015-06-24,NECESIDAD,necesidad,necesidad_15,NECESIDAD6,credito_3,7297.095,,,201506,credito
A000137,2015-06-24,NECESIDAD,necesidad,necesidad_16,NECESIDAD7,debito_4,-7309.095,,,201506,debito
A000138,2015-06-25,INGRESO,transaccion,transaccion: nombre_14,INGRESO3,efectivo,7044.0,,,201506,efectivo
A000139,2015-06-26,INGRESO,transaccion,transaccion: nombre_15,INGRESO4,efectivo,7044.0,,,201506,efectivo
A000140,2015-06-26,RECREACION,consumible,consumible_12154,RECREACION6,efectivo,-6351.0,,,201506,efectivo
A000141,2015-06-26,LIBRE,gustos,gustos_445,LIBRE4,efectivo,-2826.0,,,201506,efectivo
A000142,2015-06-26,HOGAR,hogar,hogar2059,HOGAR3,efectivo,-1416.0,,,201506,efectivo
A000143,2015-06-27,LIBRE,transaccion,transaccion_17,LIBRE4,debito_1,-291.525,,,201506,debito
A000144,2015-06-27,RECREACION,consumible,consumible_9656,RECREACION4,efectivo,-8889.0,,,201506,efectivo
A000145,2015-06-29,INGRESO,transaccion,transaccion: nombre_16,INGRESO5,efectivo,7044.0,,,201506,efectivo
A000146,2015-06-29,TRANSPORTE,transporte,transporte_18,TRANSPORTE9,efectivo,-28206.0,,,201506,efectivo
A000147,2015-06-29,TRANSPORTE,transporte,transporte_19,TRANSPORTE10,efectivo,-21156.0,,,201506,efectivo
A000148,2015-06-30,INGRESO,transaccion,transaccion_20,INGRESO10,debito_1,372359.49,,,201506,debito
A000149,2015-06-30,INGRESO,transaccion,transaccion: nombre_17,INGRESO6,efectivo,7044.0,,,201506,efectivo
A000150,2015-07-03,RECREACION,consumible,consumible_13872,RECREACION8,efectivo,-6844.5,,,201507,efectivo
A000151,2015-07-03,DINERO,transaccion,transaccion_574,DINERO3,efectivo,35244.0,,,201507,efectivo
A000152,2015-07-07,LIBRE,recreacion,recreacion: nombre_7,LIBRE4,efectivo,-7056.0,,,201507,efectivo
A000153,2015-07-08,INGRESO,inversion,ahorro_4,INGRESO2,debito_4,99751.5,,,201507,debito
A000154,2015-07-08,INGRESO,inversion,ahorro_5,INGRESO3,debito_1,-99763.5,,,201507,debito
A000155,2015-07-08,DINERO,transaccion,transaccion_1,DINERO8,credito_3,25797.0,,,201507,credito
A000156,2015-07-08,DINERO,transaccion,transaccion_2,DINERO9,debito_4,-25809.0,,,201507,debito
A000157,2015-07-10,LIBRE,consumible,consumible_2831,LIBRE8,efectivo,-3531.0,,,201507,efectivo
A000158,2015-07-14,DINERO,transaccion,transaccion_575,DINERO4,efectivo,211494.0,,,201507,efectivo
A000159,2015-07-14,DINERO,transaccion,transaccion_576,DINERO5,debito_1,-211506.0,,,201507,debito
A000160,2015-07-14,INGRESO,inversion,ahorro_3,INGRESO1,efectivo,-35256.0,,,201507,efectivo
A000161,2015-07-14,INGRESO,inversion,ahorro_4,INGRESO2,efectivo,-35256.0,,,201507,efectivo
A000162,2015-07-14,P.SALUD,hogar,hogar: nombre_17,P.SALUD1,efectivo,-105756.0,,,201507,efectivo
A000163,2015-07-15,INGRESO,transaccion,transaccion_3,INGRESO1,debito_1,253794.0,,,201507,debito
A000164,2015-07-17,RECREACION,recreacion,recreacion: nombre_16,RECREACION8,efectivo,-7056.0,,,201507,efectivo
A000165,2015-07-17,RECREACION,recreacion,recreacion_4,RECREACION2,efectivo,-7056.0,,,201507,efectivo
A000166,2015-07-17,RECREACION,consumible,consumible_9897,RECREACION3,efectivo,-7761.0,,,201507,efectivo
A000167,2015-07-17,HOGAR,hogar,hogar2060,HOGAR4,efectivo,-2826.0,,,201507,efectivo
A000168,2015-07-22,NECESIDAD,necesidad,necesidad_5,NECESIDAD5,efectivo,-3883.5,,,201507,efectivo
A000169,2015-07-22,NECESIDAD,necesidad,necesidad_6,NECESIDAD6,efectivo,-4588.5,,,201507,efectivo
A000170,2015-07-22,HOGAR,hogar,hogar2061,HOGAR5,efectivo,-1416.0,,,201507,efectivo
A000171,2015-07-24,RECREACION,consumible,consumible_9893,RECREACION7,efectivo,-7761.0,,,201507,efectivo
A000172,2015-07-25,DINERO,transaccion,transaccion_577,DINERO6,efectivo,105744.0,,,201507,efectivo
A000173,2015-07-25,DINERO,transaccion,transaccion_578,DINERO7,debito_1,-105756.0,,,201507,debito
A000174,2015-07-25,RECREACION,regalo,regalo: nombre_9,RECREACION5,efectivo,-3531.0,,,201507,efectivo
A000175,2015-07-25,NECESIDAD,necesidad,necesidad_7,NECESIDAD9,efectivo,-3531.0,,,201507,efectivo
A000176,2015-07-25,HOGAR,hogar,hogar2062,HOGAR6,efectivo,-2826.0,,,201507,efectivo
A000177,2015-07-25,RECREACION,consumible,consumible_8882,RECREACION8,efectivo,-2826.0,,,201507,efectivo
A000178,2015-07-25,P.GUSTOS,necesidad,necesidad_8,P.GUSTOS9,debito_1,-151299.0,,,201507,debito
A000179,2015-07-25,RECREACION,evento,evento_7797,RECREACION3,credito_3,-3672.0,,,201507,credito
A000180,2015-07-25,RECREACION,invitacion,invitacion_6284,RECREACION6,credito_3,-3672.0,,,201507,credito
A000181,2015-07-25,RECREACION,invitacion,invitacion_6283,RECREACION7,credito_3,-3672.0,,,201507,credito
A000182,2015-07-25,LIBRE,consumible,consumible_2957,LIBRE2,efectivo,-3531.0,,,201507,efectivo
A000183,2015-07-26,NECESIDAD,necesidad,necesidad_9,NECESIDAD8,credito_3,-7309.095,,,201507,credito
A000184,2015-07-26,NECESIDAD,necesidad,necesidad_10,NECESIDAD9,debito_4,-7309.095,,,201507,debito
A000185,2015-07-26,NECESIDAD,necesidad,necesidad_11,NECESIDAD10,credito_3,7297.095,,,201507,credito
A000186,2015-07-26,NECESIDAD,necesidad,necesidad_12,NECESIDAD1,debito_4,-7366.905000000012,,,201507,debito
A000187,2015-07-29,LIBRE,consumible,consumible_3723,LIBRE6,efectivo,-4236.0,,,201507,efectivo
A000188,2015-07-29,HOGAR,hogar,hogar2063,HOGAR7,efectivo,-711.0,,,201507,efectivo
A000189,2015-07-31,RECREACION,consumible,consumible_8879,RECREACION1,efectivo,-9171.0,,,201507,efectivo
A000190,2015-07-31,TRANSPORTE,transporte,transporte_13,TRANSPORTE1,efectivo,-42306.0,,,201507,efectivo
A000191,2015-07-31,INGRESO,transaccion,transaccion_14,INGRESO2,debito_1,424194.615,,,201507,debito
A000192,2015-07-31,RECREACION,consumible,consumible_10418,RECREACION2,efectivo,-4236.0,,,201507,efectivo
A000193,2015-07-31,RECREACION,recreacion,recreacion_15,RECREACION3,efectivo,-2121.0,,,201507,efectivo
A000194,2015-08-01,INGRESO,actividad,actividad_16,INGRESO6,efectivo,-21156.0,,,201508,efectivo
A000195,2015-08-01,RECREACION,consumible,consumible_12032,RECREACION8,debito_1,-1134.0,,,201508,debito
A000196,2015-08-01,RECREACION,consumible,consumible_9890,RECREACION10,efectivo,3942.0,,,201508,efectivo
A000197,2015-08-01,RECREACION,consumible,consumible_9886,RECREACION4,debito_1,-9030.0,,,201508,debito
A000198,2015-08-01,HOGAR,hogar,hogar2064,HOGAR8,efectivo,-711.0,,,201508,efectivo
A000199,2015-08-02,DINERO,transaccion,transaccion_17,DINERO10,credito_3,10992.0,,,201508,credito
A000200,2015-08-02,DINERO,transaccion,transaccion_18,DINERO1,debito_4,-11004.0,,,201508,debito
A000201,2015-08-04,RECREACION,recreacion,recreacion: nombre_16,RECREACION9,efectivo,-4941.0,,,201508,efectivo
A000202,2015-08-06,DINERO,transaccion,transaccion_579,DINERO8,efectivo,35244.0,,,201508,efectivo
A000203,2015-08-06,DINERO,transaccion,transaccion_580,DINERO10,debito_1,-35256.0,,,201508,debito
A000204,2015-08-06,DINERO,transaccion,transaccion_563,DINERO1,debito_1,-70506.0,,,201508,debito
A000205,2015-08-06,RECREACION,recreacion,recreacion: nombre_18,RECREACION1,efectivo,-14106.0,,,201508,efectivo
A000206,2015-08-07,RECREACION,consumible,consumible_9473,RECREACION7,efectivo,-10581.0,,,201508,efectivo
A000207,2015-08-08,DINERO,transaccion,transaccion_581,DINERO1,efectivo,105744.0,,,201508,efectivo
A000208,2015-08-08,DINERO,transaccion,transaccion_582,DINERO2,debito_1,-105756.0,,,201508,debito
A000209,2015-08-08,LIBRE,consumible,consumible_2827,LIBRE2,efectivo,-1416.0,,,201508,efectivo
A000210,2015-08-08,LIBRE,consumible,consumible_3858,LIBRE1,efectivo,-1416.0,,,201508,efectivo
A000211,2015-08-08,P.VIAJE,transporte,transporte_19,P.VIAJE4,efectivo,-8748.0,V002,,201508,efectivo
A000212,2015-08-08,P.VIAJE,consumible,consumible_7666,P.VIAJE4,efectivo,-11991.0,V002,,201508,efectivo
A000213,2015-08-08,P.VIAJE,necesidad,necesidad_20,P.VIAJE3,efectivo,-24681.0,V002,,201508,efectivo
A000214,2015-08-08,P.VIAJE,consumible,consumible_7933,P.VIAJE7,efectivo,-14106.0,V002,,201508,efectivo
A000215,2015-08-08,P.VIAJE,consumible,consumible_7930,P.VIAJE10,efectivo,-10581.0,V002,,201508,efectivo
A000216,2015-08-09,P.VIAJE,consumible,consumible_11923,P.VIAJE7,efectivo,-1557.0,V002,,201508,efectivo
A000217,2015-08-09,P.VIAJE,consumible,consumible_9334,P.VIAJE6,efectivo,-711.0,V002,,201508,efectivo
A000218,2015-08-09,P.VIAJE,recreacion,recreacion_1,P.VIAJE1,efectivo,-1416.0,V002,,201508,efectivo
A000219,2015-08-09,P.VIAJE,consumible,consumible_9103,P.VIAJE7,efectivo,-11991.0,V002,,201508,efectivo
A000220,2015-08-09,P.VIAJE,transporte,transporte_2,P.VIAJE10,efectivo,-7761.0,V002,,201508,efectivo
A000221,2015-08-10,INGRESO,inversion,ahorro_3,INGRESO1,debito_3,211494.0,,,201508,debito
A000222,2015-08-10,LIBRE,consumible,consumible_2225,LIBRE4,efectivo,-711.0,,,201508,efectivo
A000223,2015-08-10,RECREACION,transporte,transporte_3,RECREACION5,efectivo,-711.0,,,201508,efectivo
A000224,2015-08-10,RECREACION,recreacion,recreacion: nombre_15,RECREACION2,efectivo,-4941.0,,,201508,efectivo
A000225,2015-08-12,P.FORMAL,necesidad,necesidad_4,P.FORMAL1,debito_1,-186831.0,,,201508,debito
A000226,2015-08-12,HOGAR,hogar,hogar2065,HOGAR9,efectivo,-711.0,,,201508,efectivo
A000227,2015-08-12,NECESIDAD,hogar,hogar: nombre_18,NECESIDAD4,debito_1,-24681.0,,,201508,debito
A000228,2015-08-12,SUSCRIPCION,necesidad,necesidad_5,SUSCRIPCION8,credito_3,-14106.0,,,201508,credito
A000229,2015-08-12,RECREACION,consumible,consumible_12151,RECREACION9,efectivo,-7056.0,,,201508,efectivo
A000230,2015-08-14,INGRESO,transaccion,transaccion_6,INGRESO3,debito_1,253794.0,,,201508,debito
A000231,2015-08-15,RECREACION,consumible,consumible_12875,RECREACION5,efectivo,-2826.0,,,201508,efectivo
A000232,2015-08-16,LIBRE,consumible,consumible_2966,LIBRE3,efectivo,-7056.0,,,201508,efectivo
A000233,2015-08-17,INGRESO,inversion,ahorro_4,INGRESO2,debito_3,70494.0,,,201508,debito
A000234,2015-08-17,INGRESO,inversion,ahorro_5,INGRESO3,debito_1,-70506.0,,,201508,debito
A000235,2015-08-17,INGRESO,inversion,ahorro_6,INGRESO4,debito_4,49344.0,,,201508,debito
A000236,2015-08-17,INGRESO,inversion,ahorro_7,INGRESO5,debito_1,-49356.0,,,201508,debito
A000237,2015-08-17,DINERO,transaccion,transaccion_583,DINERO3,debito_4,-3531.0,,,201508,debito
A000238,2015-08-17,DINERO,transaccion,transaccion_584,DINERO4,efectivo,3519.0,,,201508,efectivo
A000239,2015-08-17,RECREACION,transporte,transporte_7,RECREACION6,efectivo,-711.0,,,201508,efectivo
A000240,2015-08-17,RECREACION,transporte,transporte_8,RECREACION7,efectivo,-1416.0,,,201508,efectivo
A000241,2015-08-18,DINERO,transaccion,transaccion_585,DINERO5,efectivo,176244.0,,,201508,efectivo
A000242,2015-08-18,DINERO,transaccion,transaccion_586,DINERO6,debito_1,-176256.0,,,201508,debito
A000243,2015-08-18,INGRESO,inversion,ahorro_9,INGRESO7,efectivo,-116331.0,,,201508,efectivo
