id,fecha,clave,descripcion,lugar_de_uso,monto,id_viaje,moneda,tipo_cambio,periodo_fact_c_diaria
A014000,25/04/2024,deuda,deuda: nombre_5,P.VIAJE2,-1303.2,V131,Dolar Americano,948.83,202404
A013807-1,11/04/2024,deuda,deuda: nombre_13,P.VIAJE3,-6281.5575,V118,Dolar Americano,954.7,202404
A002038,26/03/2017,necesidad,necesidad_17,P.VIAJE8,53926.5,V021,Euro,712.7,201703
A013964,21/04/2024,consumible,consumible_8202,P.VIAJE8,-5203.965,V125,Dolar Americano,954.44,202404
A007144-2,05/09/2020,deuda,deuda: nombre_5,P.VIAJE8,-27501,V080,Yen Japones,72587,202009
A013632,23/03/2024,regalo,regalo: nombre_4,P.VIAJE1,-141006,V114,Euro,1061.55,202403
A014184,03/05/2024,deuda,deuda: nombre_10,P.VIAJE3,7533.27,V115,Dolar Americano,938.78,202405
A006290,30/12/2019,gustos,gustos_5477,P.VIAJE3,-52129.047,V075,Dolar Americano,752.08,201912
A014103,03/05/2024,deuda,deuda: nombre_15,P.VIAJE1,88250.13,V116,Yen Japones,61354,202405
A006452,26/02/2020,deuda,deuda: nombre_17,RECREACION6,-1416,V077,Dolar Americano,811.3,202002
A013686,02/04/2024,deuda,deuda: nombre_14,P.VIAJE8,41658.795,V117,Euro,1049.02,202404
A013944,20/04/2024,deuda,deuda: nombre_14,P.VIAJE6,-19497.135,V123,Dolar Americano,954.44,202404
A011876,15/05/2023,regalo,regalo: nombre_17,P.VIAJE2,-6351,V101,Euro,854.57,202305
A005268,09/06/2019,transporte,transporte: nombre_10,P.VIAJE6,11274,V060,Yen Japones,64008,201906
A013943,20/04/2024,deuda,deuda: nombre_2,P.VIAJE5,-9751.215,V123,Dolar Americano,954.44,202404
A013813,12/04/2024,deuda,deuda: nombre_20,P.VIAJE8,-4384.755,V119,Euro,1026.29,202404
A014012,26/04/2024,consumible,consumible_9211,P.VIAJE9,-7453.62,V132,Euro,1014.49,202404
A013567,12/03/2024,evento,evento_5792,P.VIAJE8,-41645.7675,V122,Yen Japones,64704,202403
A003800,01/06/2018,necesidad,necesidad_4,P.VIAJE6,-742.725,V047,Dolar Americano,631.29,201806
A003102,02/12/2017,transporte,transporte_4,P.VIAJE3,-45478.5,V038,Euro,770.3,201712
A005637,06/09/2019,necesidad,necesidad_19,P.VIAJE3,-2403,V064,Yen Japones,66492,201909
A003461,05/03/2018,necesidad,necesidad_1,P.VIAJE3,-263948.13,V047,Dolar Americano,598.1,201803
A013143,07/01/2024,transporte,transporte_11,P.VIAJE4,245413.665,V115,Dolar Americano,889.6,202401
A005595,22/08/2019,deuda,deuda: nombre_2,P.VIAJE9,-35256,V064,Yen Japones,67143,201908
A001424,23/09/2016,consumible,consumible_7624,P.VIAJE6,-14117.28,V013,Dolar Americano,660.25,201609
A013123,26/12/2023,recreacion,recreacion: nombre_20,P.VIAJE7,-2473.5,V113,Euro,983.81,202312
A005953,24/10/2019,invitacion,invitacion: nombre_2,RECREACION5,-2473.5,V070,Dolar Americano,723.73,201910
A013139,04/01/2024,hogar,hogar_5125,P.VIAJE5,-13048.5,V113,Euro,971.33,202401
A013008,01/12/2023,consumible,consumible_7611,P.VIAJE9,-2826,V110,Euro,934.48,202312
A013116,26/12/2023,hogar,hogar_5086,P.VIAJE4,-4925.49,V113,Euro,983.81,202312
A004912,26/03/2019,deuda,deuda: nombre_19,P.VIAJE7,5422.5,V052,Dolar Americano,680.19,201903
A013767-1,09/04/2024,deuda,deuda: nombre_4,P.VIAJE1,-7341.525,V115,Dolar Americano,940.92,202404
A013084,19/12/2023,hogar,hogar_5028,P.VIAJE2,-1726.2,V113,Euro,945.58,202312
A013560,12/03/2024,deuda,deuda: nombre_11,P.VIAJE10,-28633.5825,V122,Yen Japones,64704,202403
A013142,06/01/2024,hogar,hogar_4797,P.VIAJE3,769.5,V113,Euro,973.31,202401
A013850,14/04/2024,recreacion,recreacion_13,P.VIAJE9,-3146.775,V120,Dolar Americano,964.38,202404
A010997,14/12/2022,recreacion,recreacion_10,P.VIAJE5,-1416,V100,Euro,929.39,202212
A007219,19/09/2020,consumible,consumible_8444,P.VIAJE6,-8466,V080,Yen Japones,72963,202009
A014743,11/08/2024,deuda,deuda: nombre_8,P.VIAJE8,-4870.5,V139,Euro,1017.4,202408
A014216,03/05/2024,deuda,deuda: nombre_4,P.VIAJE5,8751.51,V119,Euro,1009.94,202405
A010190,21/08/2022,transporte,transporte_2,P.VIAJE2,-7620,V092,Yen Japones,68929,202208
A015648,13/04/2025,necesidad,necesidad_18,P.VIAJE2,-5223,V143,Yen Japones,67595,202504
A004885,23/03/2019,transaccion,transaccion_6,P.VIAJE3,-499.5,V052,Dolar Americano,678.23,201903
A011005,16/12/2022,regalo,regalo: nombre_7,P.VIAJE10,-3791.85,V100,Euro,936.78,202212
A009494,18/05/2022,regalo,regalo: nombre_11,P.VIAJE4,-4095,V086,Euro,893.84,202205
A010191,21/08/2022,regalo,regalo: nombre_9,P.VIAJE1,-7620,V092,Yen Japones,68929,202208
A014109,03/05/2024,deuda,deuda: nombre_10,P.VIAJE7,3763.635,V119,Euro,1009.94,202405
A014139,03/05/2024,deuda,deuda: nombre_15,P.VIAJE7,1746.63,V123,Dolar Americano,938.78,202405
A013804,11/04/2024,regalo,regalo: nombre_15,P.VIAJE2,-2769.6,V117,Euro,1023.82,202404
A006229,20/12/2019,invitacion,invitacion_6290,RECREACION10,-2826,V073,Dolar Americano,756.35,201912
A014185,03/05/2024,deuda,deuda: nombre_5,P.VIAJE4,7329.525,V115,Dolar Americano,938.78,202405
A013117,26/12/2023,hogar,hogar_5017,P.VIAJE3,-6703.5,V113,Euro,983.81,202312
A013806-1,11/04/2024,deuda,deuda: nombre_7,P.VIAJE2,-15067.2675,V118,Dolar Americano,954.7,202404
A013654,27/03/2024,deuda,deuda: nombre_12,P.VIAJE4,10569,V114,Euro,1059.13,202403
A001776,21/01/2017,consumible,consumible_8435,P.VIAJE5,-6280.5,V018,Euro,702.38,201701
A013348,05/02/2024,deuda,deuda: nombre_2,P.VIAJE1,35919.39,V133,Euro,1024.05,202402
A013691,02/04/2024,deuda,deuda: nombre_18,P.VIAJE3,18323.295,V115,Dolar Americano,974.2,202404
A013079,18/12/2023,necesidad,necesidad_11,P.VIAJE4,-7725.75,V113,Euro,954.58,202312
A015684,16/04/2025,consumible,consumible_11720,P.VIAJE10,-18265.5,V143,Yen Japones,68408,202504
A003885,20/06/2018,consumible,consumible_11226,P.VIAJE4,-7197,V047,Dolar Americano,640.27,201806
A013872,16/04/2024,consumible,consumible_10587,P.VIAJE3,-2069.535,V122,Yen Japones,63334,202404
A013805-1,11/04/2024,deuda,deuda: nombre_3,P.VIAJE1,-5026.305,V118,Dolar Americano,954.7,202404
A005687,17/09/2019,deuda,deuda: nombre_4,P.VIAJE1,44651.52,V064,Yen Japones,66094,201909
A014259,03/05/2024,deuda,deuda: nombre_19,P.VIAJE8,1929.93,V122,Yen Japones,61354,202405
A013997,25/04/2024,regalo,regalo: nombre_2,P.VIAJE4,-2600.4,V131,Dolar Americano,948.83,202404
A013777-1,09/04/2024,deuda,deuda: nombre_10,P.VIAJE8,-1237.2825,V116,Yen Japones,61984,202404
A013861-1,15/04/2024,deuda,deuda: nombre_1,P.VIAJE4,-11321.955,V121,Dolar Americano,978.2,202404
A003782,27/05/2018,consumible,consumible_10722,P.VIAJE8,-2685,V046,Yen Japones,57111,201805
A011008,17/12/2022,hogar,hogar_5049,P.VIAJE1,-5427.45,V100,Euro,936.78,202212
A010171,19/08/2022,recreacion,recreacion_12,P.VIAJE5,-1416,V089,Yen Japones,68929,202208
A011036,22/12/2022,recreacion,recreacion_13,P.VIAJE8,-3531,V100,Euro,921.36,202212
A010162,19/08/2022,consumible,consumible_11735,P.VIAJE5,-3495.75,V089,Yen Japones,68929,202208
A015693,16/04/2025,regalo,regalo: nombre_13,P.VIAJE7,-908.4,V143,Yen Japones,68408,202504
A013828,13/04/2024,deuda,deuda: nombre_3,P.VIAJE1,20094.96,V119,Euro,1026.29,202404
A013347,05/02/2024,deuda,deuda: nombre_2,P.VIAJE10,42689.505,V132,Euro,1024.05,202402
A013910,19/04/2024,consumible,consumible_10653,P.VIAJE7,-7750.425,V122,Yen Japones,61716,202404
A008759,31/10/2021,consumible,consumible_8097,P.VIAJE3,-1557,V084,Dolar Americano,813.2,202110
A014754,12/08/2024,transporte,transporte_8,P.VIAJE8,-2896.5,V139,Euro,1021.28,202408
A014031,27/04/2024,deuda,deuda: nombre_17,P.VIAJE3,-6508.92,V133,Euro,1014.49,202404
A014753,12/08/2024,consumible,consumible_10528,P.VIAJE2,-12555,V139,Euro,1021.28,202408
A015530,12/03/2025,deuda,deuda: nombre_5,P.VIAJE1,115516.71,V143,Yen Japones,63163,202503
A013848-1,14/04/2024,deuda,deuda: nombre_3,P.VIAJE5,-5031.5925,V120,Dolar Americano,964.38,202404
A011894,21/05/2023,consumible,consumible_7902,P.VIAJE8,-3972.33,V101,Euro,861.83,202305
A013899,17/04/2024,deuda,deuda: nombre_17,P.VIAJE3,-7283.715,V122,Yen Japones,63314,202404
A003024,18/11/2017,regalo,regalo: nombre_9,P.VIAJE2,-8606.295,V032,Dolar Americano,625.92,201711
A013547,11/03/2024,deuda,deuda: nombre_11,P.VIAJE4,-26031.075,V119,Euro,1055.89,202403
A003889,21/06/2018,consumible,consumible_9076,P.VIAJE4,-429,V047,Dolar Americano,639.95,201806
A013110,23/12/2023,consumible,consumible_8140,P.VIAJE10,-21156,V113,Euro,982.04,202312
A003903,22/06/2018,consumible,consumible_8528,P.VIAJE2,-10581,V047,Dolar Americano,638.14,201806
A001349,07/09/2016,necesidad,necesidad_3,P.VIAJE6,-91301.385,V011,Dolar Americano,662,201609
A014616,18/07/2024,consumible,consumible_9547,P.VIAJE3,-4518,V134,Yen Japones,59767,202407
A011053,28/12/2022,regalo,regalo: nombre_15,P.VIAJE2,-13119,V100,Euro,915.17,202212
A013960-1,21/04/2024,deuda,deuda: nombre_19,P.VIAJE7,-6502.9275,V125,Dolar Americano,954.44,202404
A010183,20/08/2022,consumible,consumible_9704,P.VIAJE6,-4236,V090,Euro,947.26,202208
A013819,12/04/2024,consumible,consumible_9958,P.VIAJE2,-798.0675,V119,Euro,1026.29,202404
A001076,04/06/2016,consumible,consumible_10564,P.VIAJE6,-2685,V010,Euro,775.58,201606
A013745,06/04/2024,necesidad,necesidad_20,P.VIAJE6,-243.585,V119,Euro,1027.32,202404
A010184,20/08/2022,consumible,consumible_10490,P.VIAJE10,-499.5,V091,Dolar Americano,944.05,202208
A001394,18/09/2016,consumible,consumible_9685,P.VIAJE5,-17631,V012,Yen Japones,65981,201609
A010545,05/10/2022,consumible,consumible_8380,P.VIAJE10,-12555,V097,Euro,928.62,202210
A003895,22/06/2018,recreacion,recreacion_2,P.VIAJE7,-4236,V047,Dolar Americano,638.14,201806
A005264,09/06/2019,transporte,transporte_13,P.VIAJE7,-1416,V060,Yen Japones,64008,201906
A015652,13/04/2025,regalo,regalo: nombre_3,P.VIAJE5,-26020.5,V143,Yen Japones,67595,202504
A014016,26/04/2024,deuda,deuda: nombre_9,P.VIAJE1,-2619.435,V132,Euro,1014.49,202404
A013919,19/04/2024,consumible,consumible_9611,P.VIAJE9,-1141.755,V123,Dolar Americano,954.44,202404
A001432,24/09/2016,necesidad,necesidad_1,P.VIAJE8,-16222.41,V013,Dolar Americano,660.25,201609
A015643,12/04/2025,regalo,regalo: nombre_8,P.VIAJE4,-15516,V143,Yen Japones,67595,202504
A013700,02/04/2024,deuda,deuda: nombre_12,P.VIAJE2,26019.075,V119,Euro,1049.02,202404
A011939,30/05/2023,regalo,regalo: nombre_9,P.VIAJE9,-9171,V101,Euro,863.26,202305
A013922,19/04/2024,deuda,deuda: nombre_13,P.VIAJE10,-1758.63,V123,Dolar Americano,954.44,202404
A014116,03/05/2024,deuda,deuda: nombre_12,P.VIAJE3,5023.47,V121,Dolar Americano,938.78,202405
A011935,30/05/2023,hogar,hogar_5023,P.VIAJE7,-1090.29,V101,Euro,863.26,202305
A011006,16/12/2022,consumible,consumible_6882,P.VIAJE8,-3100.95,V100,Euro,936.78,202212
A009461,14/05/2022,consumible,consumible_8471,P.VIAJE9,-14811,V086,Euro,895.19,202205
A002013,19/03/2017,recreacion,recreacion_7,P.VIAJE10,-14934.375,V021,Euro,710.93,201703
A013863,16/04/2024,deuda,deuda: nombre_3,P.VIAJE5,-12691.065,V121,Dolar Americano,979.9,202404
A013777,09/04/2024,consumible,consumible_7193,P.VIAJE7,-1237.2825,V116,Yen Japones,61984,202404
A015687,16/04/2025,gustos,gustos_5540,P.VIAJE10,-25315.5,V143,Yen Japones,68408,202504
A003197,20/12/2017,evento,evento_5853,P.VIAJE7,-67333.5,V047,Dolar Americano,619.6,201712
A011058,31/12/2022,consumible,consumible_8595,P.VIAJE5,-2473.5,V100,Euro,907.32,202212
A013832,13/04/2024,consumible,consumible_8524,P.VIAJE6,-17595.75,V119,Euro,1026.29,202404
A014658,29/07/2024,consumible,consumible_7650,P.VIAJE10,-14740.5,V138,Euro,1034.62,202407
A008724,24/10/2021,consumible,consumible_9725,P.VIAJE5,-3178.5,V083,Yen Japones,71769,202110
A013421,20/02/2024,deuda,deuda: nombre_10,P.VIAJE1,-32173.74,V119,Euro,1038.71,202402
A013897,17/04/2024,deuda,deuda: nombre_2,P.VIAJE2,-2030.76,V122,Yen Japones,63314,202404
A015476,26/02/2025,deuda,deuda: nombre_19,P.VIAJE7,95380.5,V143,Yen Japones,63125,202502
A015497,27/02/2025,deuda,deuda: nombre_4,P.VIAJE10,161804.895,V143,Yen Japones,63453,202502
A003144,09/12/2017,consumible,consumible_8013,P.VIAJE7,-4236,V038,Euro,771.25,201712
A013521,11/03/2024,deuda,deuda: nombre_6,P.VIAJE9,-23450.07,V116,Yen Japones,65764,202403
A013239,13/01/2024,necesidad,necesidad_5,P.VIAJE9,-64540.995,V120,Dolar Americano,909.5,202401
A001395,18/09/2016,transporte,transporte_16,P.VIAJE4,-14106,V012,Yen Japones,65981,201609
A008715,23/10/2021,consumible,consumible_10372,P.VIAJE8,-9171,V083,Yen Japones,71769,202110
A013816-1,12/04/2024,deuda,deuda: nombre_20,P.VIAJE1,-5635.7775,V119,Euro,1026.29,202404
A006274,28/12/2019,gustos,gustos_5183,P.VIAJE7,-14722.452,V074,Euro,835.55,201912
A005723,22/09/2019,consumible,consumible_9723,P.VIAJE7,-5646,V064,Yen Japones,66683,201909
A015651,13/04/2025,recreacion,recreacion_20,P.VIAJE8,-26020.5,V143,Yen Japones,67595,202504
A013562,12/03/2024,deuda,deuda: nombre_15,P.VIAJE1,-16922.1225,V122,Yen Japones,64704,202403
A010839,17/11/2022,regalo,regalo: nombre_19,P.VIAJE3,-13048.5,V099,Euro,954.42,202211
A006077,16/11/2019,consumible,consumible_13744,RECREACION6,-2367.75,V071,Dolar Americano,774.3,201911
A014720,09/08/2024,consumible,consumible_8183,P.VIAJE7,-13542,V139,Euro,1017.4,202408
A014735,11/08/2024,consumible,consumible_10691,P.VIAJE9,-1909.5,V139,Euro,1017.4,202408
A007225,20/09/2020,consumible,consumible_7535,P.VIAJE5,-5646,V080,Yen Japones,72963,202009
A011090,07/01/2023,consumible,consumible_11642,P.VIAJE8,-2826,V100,Euro,895.09,202301
A006296,31/12/2019,consumible,consumible_10550,P.VIAJE10,-5449.446,V075,Dolar Americano,751.5,201912
A013969,22/04/2024,transporte,transporte_1,P.VIAJE8,-3969.1575,V127,Yen Japones,61453,202404
A013781-1,09/04/2024,deuda,deuda: nombre_12,P.VIAJE2,-1501.305,V116,Yen Japones,61984,202404
A013967,21/04/2024,consumible,consumible_11099,P.VIAJE1,-7801.89,V125,Dolar Americano,954.44,202404
A006300,31/12/2019,transporte,transporte_8,P.VIAJE3,-28530.3,V075,Dolar Americano,751.5,201912
A013100,22/12/2023,consumible,consumible_9967,P.VIAJE3,-11286,V113,Euro,982.04,202312
A008739,29/10/2021,regalo,regalo: nombre_17,P.VIAJE3,-6139.5,V084,Dolar Americano,813.2,202110
A014288,03/05/2024,deuda,deuda: nombre_12,P.VIAJE7,7082.07,V133,Euro,1009.94,202405
A013923,19/04/2024,deuda,deuda: nombre_14,P.VIAJE1,-2926.815,V123,Dolar Americano,954.44,202404
A008751,30/10/2021,recreacion,recreacion_7,P.VIAJE9,-1909.5,V084,Dolar Americano,813.2,202110
A008320,27/06/2021,invitacion,invitacion: nombre_19,RECREACION9,-22862.1,V082,Dolar Americano,732.6,202106
A002004,18/03/2017,consumible,consumible_9499,P.VIAJE1,-4375.59,V021,Euro,710.93,201703
A009489,18/05/2022,consumible,consumible_9697,P.VIAJE3,-38781,V086,Euro,893.84,202205
A013825,12/04/2024,consumible,consumible_10349,P.VIAJE1,-765.99,V119,Euro,1026.29,202404
A013706,02/04/2024,deuda,deuda: nombre_12,P.VIAJE8,28621.5825,V122,Yen Japones,64274,202404
A010981,13/12/2022,regalo,regalo: nombre_8,P.VIAJE8,-3531,V100,Euro,909.84,202212
A004905,25/03/2019,recreacion,recreacion_15,P.VIAJE9,-2826,V052,Dolar Americano,679.38,201903
A014748,11/08/2024,regalo,regalo: nombre_12,P.VIAJE1,-2473.5,V139,Euro,1017.4,202408
A013340,05/02/2024,deuda,deuda: nombre_9,P.VIAJE3,13619.535,V119,Euro,1024.05,202402
A013344,05/02/2024,deuda,deuda: nombre_18,P.VIAJE7,71269.5,V123,Dolar Americano,953.4,202402
A006269,26/12/2019,transporte,transporte_18,P.VIAJE1,-9579.9,V074,Euro,827.1,201912
A013229,13/01/2024,necesidad,necesidad_19,P.VIAJE9,-229295.265,V122,Yen Japones,62754,202401
A002002,18/03/2017,recreacion,recreacion_2,P.VIAJE1,-42810.075,V021,Euro,710.93,201703
A009522,21/05/2022,consumible,consumible_9747,P.VIAJE3,-9876,V086,Euro,882.76,202205
A014157,03/05/2024,deuda,deuda: nombre_10,P.VIAJE7,1286.97,V127,Yen Japones,61354,202405
A013865,16/04/2024,deuda,deuda: nombre_19,P.VIAJE6,-16395.84,V121,Dolar Americano,979.9,202404
A005717,21/09/2019,deuda,deuda: nombre_6,P.VIAJE5,-31027.41,V064,Yen Japones,66683,201909
A000219,09/08/2015,consumible,consumible_9103,P.VIAJE7,-11991,V002,Dolar Americano,678,201508
A004906,25/03/2019,transporte,transporte_14,P.VIAJE10,-288,V052,Dolar Americano,679.38,201903
A011052,28/12/2022,recreacion,recreacion_7,P.VIAJE6,-13119,V100,Euro,915.17,202212
A009479,16/05/2022,regalo,regalo: nombre_7,P.VIAJE1,-17983.5,V086,Euro,894.03,202205
A013815,12/04/2024,consumible,consumible_10641,P.VIAJE9,-8763.51,V119,Euro,1026.29,202404
A014231,03/05/2024,deuda,deuda: nombre_10,P.VIAJE10,6276.255,V120,Dolar Americano,938.78,202405
A011017,19/12/2022,manualidad,manualidad_13,P.VIAJE4,-91656,V100,Euro,943.05,202212
A001993,17/03/2017,consumible,consumible_9501,P.VIAJE9,-3372.375,V021,Euro,710.93,201703
A003888,21/06/2018,transporte,transporte_4,P.VIAJE8,-4071.735,V047,Dolar Americano,639.95,201806
A013784-1,09/04/2024,deuda,deuda: nombre_17,P.VIAJE5,-759.9975,V116,Yen Japones,61984,202404
A003773,26/05/2018,consumible,consumible_10982,P.VIAJE8,-1486.5,V046,Yen Japones,57111,201805
A003729,17/05/2018,evento,evento_5730,P.VIAJE10,-103641,V047,Dolar Americano,632.49,201805
A010542,04/10/2022,consumible,consumible_10007,P.VIAJE3,-711,V097,Euro,929.81,202210
A013219,12/01/2024,transporte,transporte_16,P.VIAJE5,-21205.35,V128,Euro,995.81,202401
A003780,27/05/2018,consumible,consumible_10979,P.VIAJE1,-2121,V046,Yen Japones,57111,201805
A010188,20/08/2022,consumible,consumible_11499,P.VIAJE1,-2191.5,V092,Yen Japones,68929,202208
A005739,24/09/2019,transporte,transporte_13,P.VIAJE5,-25194.24,V066,Euro,796.62,201909
A008712,23/10/2021,consumible,consumible_8169,P.VIAJE1,-6067.59,V083,Yen Japones,71769,202110
A011089,07/01/2023,consumible,consumible_8259,P.VIAJE1,-19746,V100,Euro,895.09,202301
A013518,11/03/2024,transporte,transporte_19,P.VIAJE8,-22411.605,V126,Yen Japones,65764,202403
A013794-1,10/04/2024,deuda,deuda: nombre_1,P.VIAJE4,-12615.9825,V116,Yen Japones,62263,202404
A003908,23/06/2018,consumible,consumible_10440,P.VIAJE10,-4236,V047,Dolar Americano,638.14,201806
A013766-1,09/04/2024,deuda,deuda: nombre_7,P.VIAJE10,-7545.27,V115,Dolar Americano,940.92,202404
A005825,03/10/2019,regalo,regalo: nombre_20,P.VIAJE8,-19041,V066,Euro,785.21,201910
A001446,25/09/2016,necesidad,necesidad_11,P.VIAJE5,-11202.81,V013,Dolar Americano,660.25,201609
A010540,04/10/2022,consumible,consumible_7208,P.VIAJE2,-1768.5,V097,Euro,929.81,202210
A014734,11/08/2024,deuda,deuda: nombre_11,P.VIAJE7,15504,V139,Euro,1017.4,202408
A011033,22/12/2022,regalo,regalo_11,P.VIAJE10,-2332.5,V100,Euro,921.36,202212
A014206,03/05/2024,deuda,deuda: nombre_15,P.VIAJE5,1570.38,V116,Yen Japones,61354,202405
A008322,27/06/2021,consumible,consumible_12202,RECREACION8,-5646,V082,Dolar Americano,732.6,202106
A014235,03/05/2024,deuda,deuda: nombre_6,P.VIAJE4,3134.775,V120,Dolar Americano,938.78,202405
A013701,02/04/2024,deuda,deuda: nombre_10,P.VIAJE3,32525.1675,V120,Dolar Americano,974.2,202404
A013564,12/03/2024,deuda,deuda: nombre_3,P.VIAJE2,-24729.645,V122,Yen Japones,64704,202403
A008709,23/10/2021,consumible,consumible_11592,P.VIAJE8,-2367.75,V083,Yen Japones,71769,202110
A013973,22/04/2024,consumible,consumible_11837,P.VIAJE3,-1944.75,V127,Yen Japones,61453,202404
