"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","periodo_fact_c_diaria","nombre"
A000096,2015-06-11,RECREACION,recreacion,recreacion: nombre_18,RECREACION4,-7056.0,201506,nombre_18
A000097,2015-06-12,INGRESO,transaccion,transaccion: nombre_5,INGRESO3,7044.0,201506,nombre_5
A000098,2015-06-12,RECREACION,recreacion,recreacion: nombre_2,RECREACION5,-711.0,201506,nombre_2
A000111,2015-06-15,INGRESO,transaccion,transaccion: nombre_6,INGRESO4,7044.0,201506,nombre_6
A000114,2015-06-16,INGRESO,transaccion,transaccion: nombre_7,INGRESO5,7044.0,201506,nombre_7
A000115,2015-06-17,INGRESO,transaccion,transaccion: nombre_8,INGRESO6,7044.0,201506,nombre_8
A000116,2015-06-18,INGRESO,transaccion,transaccion: nombre_9,INGRESO7,7044.0,201506,nombre_9
A000118,2015-06-19,INGRESO,transaccion,transaccion: nombre_10,INGRESO8,7044.0,201506,nombre_10
A000130,2015-06-22,INGRESO,transaccion,transaccion: nombre_11,INGRESO9,7044.0,201506,nombre_11
A000131,2015-06-23,INGRESO,transaccion,transaccion: nombre_12,INGRESO10,7044.0,201506,nombre_12
A000132,2015-06-23,RECREACION,regalo,regalo: nombre_7,RECREACION4,-25809.0,201506,nombre_7
A000133,2015-06-24,INGRESO,transaccion,transaccion: nombre_13,INGRESO2,7044.0,201506,nombre_13
A000138,2015-06-25,INGRESO,transaccion,transaccion: nombre_14,INGRESO3,7044.0,201506,nombre_14
A000139,2015-06-26,INGRESO,transaccion,transaccion: nombre_15,INGRESO4,7044.0,201506,nombre_15
A000145,2015-06-29,INGRESO,transaccion,transaccion: nombre_16,INGRESO5,7044.0,201506,nombre_16
A000149,2015-06-30,INGRESO,transaccion,transaccion: nombre_17,INGRESO6,7044.0,201506,nombre_17
A000152,2015-07-07,LIBRE,recreacion,recreacion: nombre_7,LIBRE4,-7056.0,201507,nombre_7
A000162,2015-07-14,P.SALUD,hogar,hogar: nombre_17,P.SALUD1,-105756.0,201507,nombre_17
A000164,2015-07-17,RECREACION,recreacion,recreacion: nombre_16,RECREACION8,-7056.0,201507,nombre_16
A000174,2015-07-25,RECREACION,regalo,regalo: nombre_9,RECREACION5,-3531.0,201507,nombre_9
A000201,2015-08-04,RECREACION,recreacion,recreacion: nombre_16,RECREACION9,-4941.0,201508,nombre_16
A000205,2015-08-06,RECREACION,recreacion,recreacion: nombre_18,RECREACION1,-14106.0,201508,nombre_18
A000224,2015-08-10,RECREACION,recreacion,recreacion: nombre_15,RECREACION2,-4941.0,201508,nombre_15
A000227,2015-08-12,NECESIDAD,hogar,hogar: nombre_18,NECESIDAD4,-24681.0,201508,nombre_18
A000253,2015-08-19,LIBRE,consumible,consumible: nombre_16,LIBRE7,-3531.0,201508,nombre_16
A000283,2015-09-04,P.VIAJE,necesidad,necesidad: nombre_18,P.VIAJE4,-22566.0,201509,nombre_18
A000285,2015-09-05,P.RECREACION,regalo,regalo: nombre_7,P.RECREACION9,-62680.5,201509,nombre_7
A000288,2015-09-05,P.RECREACION,regalo,regalo: nombre_20,P.RECREACION10,-3531.0,201509,nombre_20
A000297,2015-09-11,RECREACION,invitacion,invitacion: nombre_13,RECREACION10,-3672.0,201509,nombre_13
A000330,2015-09-21,RECREACION,recreacion,recreacion: nombre_7,RECREACION7,-3531.0,201509,nombre_7
A000411,2015-10-30,RECREACION,recreacion,recreacion: nombre_19,RECREACION9,-17631.0,201510,nombre_19
A000458,2015-11-18,LIBRE,recreacion,recreacion: nombre_5,LIBRE7,-1416.0,201511,nombre_5
A000460,2015-11-19,P.VIAJE,transaccion,transaccion: nombre_18,P.VIAJE3,4224.0,201511,nombre_18
A000509,2015-11-29,RECREACION,invitacion,invitacion: nombre_3,RECREACION9,-2755.5,201511,nombre_3
A000534,2015-12-07,LIBRE,recreacion,recreacion: nombre_8,LIBRE8,-7056.0,201512,nombre_8
A000536,2015-12-12,P.RECREACION,regalo,regalo: nombre_6,P.RECREACION8,-30997.800000000003,201512,nombre_6
A000537,2015-12-12,P.RECREACION,regalo,regalo: nombre_20,P.RECREACION10,-34903.5,201512,nombre_20
A000538,2015-12-12,P.RECREACION,regalo,regalo: nombre_10,P.RECREACION1,-56335.5,201512,nombre_10
A000539,2015-12-12,RECREACION,regalo,regalo: nombre_8,RECREACION7,35244.0,201512,nombre_8
A000541,2015-12-12,P.RECREACION,regalo,regalo: nombre_2,P.RECREACION4,-2121.0,201512,nombre_2
A000545,2015-12-14,RECREACION,recreacion,recreacion: nombre_10,RECREACION4,-2826.0,201512,nombre_10
A000559,2015-12-16,P.RECREACION,regalo,regalo: nombre_9,P.RECREACION9,-56335.5,201512,nombre_9
A000573,2015-12-22,P.RECREACION,regalo,regalo: nombre_17,P.RECREACION2,-52881.0,201512,nombre_17
A000580,2015-12-23,P.RECREACION,regalo,regalo: nombre_10,P.RECREACION10,-7056.0,201512,nombre_10
A000586,2015-12-26,P.RECREACION,regalo,regalo: nombre_5,P.RECREACION1,-28206.0,201512,nombre_5
A000603,2015-12-31,LIBRE,hogar,hogar: nombre_7,LIBRE5,-14106.0,201512,nombre_7
A000633,2016-01-12,RECREACION,regalo,regalo: nombre_4,RECREACION9,-61693.5,201601,nombre_4
A000817,2016-03-23,RECREACION,invitacion,invitacion: nombre_7,RECREACION4,-3566.25,201603,nombre_7
A000818,2016-03-23,RECREACION,invitacion,invitacion: nombre_9,RECREACION6,-3566.25,201603,nombre_9
A000819,2016-03-23,RECREACION,invitacion,invitacion: nombre_8,RECREACION7,-3566.25,201603,nombre_8
A000832,2016-03-28,RECREACION,recreacion,recreacion: nombre_14,RECREACION7,-3531.0,201603,nombre_14
A000850,2016-04-06,RECREACION,recreacion,recreacion: nombre_19,RECREACION2,-3531.0,201604,nombre_19
A000902,2016-04-16,RECREACION,invitacion,invitacion: nombre_3,RECREACION9,-1416.0,201604,nombre_3
A000909,2016-04-19,RECREACION,recreacion,recreacion: nombre_15,RECREACION3,-3531.0,201604,nombre_15
A000914,2016-04-22,RECREACION,recreacion,recreacion: nombre_11,RECREACION4,-20733.0,201604,nombre_11
A000915,2016-04-22,RECREACION,recreacion,recreacion: nombre_12,RECREACION5,8454.0,201604,nombre_12
A000934,2016-04-26,RECREACION,recreacion,recreacion: nombre_16,RECREACION6,-27501.0,201604,nombre_16
A000973,2016-05-08,RECREACION,invitacion,invitacion: nombre_6,RECREACION6,-3531.0,201605,nombre_6
A000977,2016-05-10,RECREACION,regalo,regalo: nombre_20,RECREACION4,-42306.0,201605,nombre_20
A000983,2016-05-14,P.VIAJE,transporte,transporte: nombre_1,P.VIAJE5,4929.0,201605,nombre_1
A000985,2016-05-15,P.VIAJE,transporte,transporte: nombre_20,P.VIAJE6,7044.0,201605,nombre_20
A001016,2016-05-20,RECREACION,invitacion,invitacion: nombre_20,RECREACION5,-4588.5,201605,nombre_20
A001050,2016-05-31,RECREACION,recreacion,recreacion: nombre_19,RECREACION7,-2121.0,201605,nombre_19
A001066,2016-06-03,RECREACION,consumible,consumible: nombre_14,RECREACION7,-3531.0,201606,nombre_14
A001104,2016-06-14,RECREACION,invitacion,invitacion: nombre_5,RECREACION10,-993.0,201606,nombre_5
A001120,2016-06-17,RECREACION,invitacion,invitacion: nombre_18,RECREACION8,-3460.5,201606,nombre_18
A001126,2016-06-18,LIBRE,recreacion,recreacion: nombre_15,LIBRE4,-17631.0,201606,nombre_15
A001134,2016-06-24,RECREACION,regalo,regalo: nombre_6,RECREACION8,-28206.0,201606,nombre_6
A001159,2016-06-30,RECREACION,invitacion,invitacion: nombre_6,RECREACION4,-5293.5,201606,nombre_6
A001186,2016-07-13,RECREACION,invitacion,invitacion: nombre_6,RECREACION7,-8818.5,201607,nombre_6
A001204,2016-07-17,RECREACION,invitacion,invitacion: nombre_2,RECREACION8,-3531.0,201607,nombre_2
A001205,2016-07-17,RECREACION,invitacion,invitacion: nombre_1,RECREACION2,-3531.0,201607,nombre_1
A001257,2016-08-05,RECREACION,recreacion,recreacion: nombre_3,RECREACION8,-5646.0,201608,nombre_3
A001346,2016-09-04,RECREACION,regalo,regalo: nombre_13,RECREACION4,-35256.0,201609,nombre_13
A001381,2016-09-15,LIBRE,recreacion,recreacion: nombre_16,LIBRE5,-8466.0,201609,nombre_16
A001391,2016-09-17,P.VIAJE,regalo,regalo: nombre_10,P.VIAJE8,-7061.64,201609,nombre_10
A001392,2016-09-17,P.VIAJE,regalo,regalo: nombre_11,P.VIAJE1,-7061.64,201609,nombre_11
A001405,2016-09-22,INGRESO,transaccion,transaccion: nombre_18,INGRESO7,49344.0,201609,nombre_18
A001423,2016-09-23,P.VIAJE,regalo,regalo: nombre_17,P.VIAJE1,-19620.510000000002,201609,nombre_17
A001443,2016-09-24,P.VIAJE,regalo,regalo: nombre_9,P.VIAJE9,-5885.700000000001,201609,nombre_9
A001452,2016-09-25,P.VIAJE,regalo,regalo: nombre_7,P.VIAJE1,-20907.135000000002,201609,nombre_7
A001472,2016-09-30,RECREACION,consumible,consumible: nombre_15,RECREACION1,-3531.0,201609,nombre_15
A001475,2016-09-30,P.GUSTOS,gustos,gustos: nombre_6,P.GUSTOS4,-105756.0,201609,nombre_6
A001491,2016-10-09,RECREACION,invitacion,invitacion: nombre_1,RECREACION1,-3954.0,201610,nombre_1
A001505,2016-10-12,P.GUSTOS,gustos,gustos: nombre_7,P.GUSTOS1,-91656.0,201610,nombre_7
A001526,2016-10-15,RECREACION,regalo,regalo: nombre_1,RECREACION4,-2121.0,201610,nombre_1
A001547,2016-10-28,RECREACION,invitacion,invitacion: nombre_2,RECREACION3,-3954.0,201610,nombre_2
A001638,2016-12-01,RECREACION,recreacion,recreacion: nombre_6,RECREACION10,-14106.0,201612,nombre_6
A001643,2016-12-04,P.RECREACION,regalo,regalo: nombre_10,P.RECREACION7,-105756.0,201612,nombre_10
A001686,2016-12-18,P.RECREACION,regalo,regalo: nombre_18,P.RECREACION8,-38710.5,201612,nombre_18
A001697,2016-12-24,P.VIAJE,regalo,regalo: nombre_17,P.VIAJE5,-2967.0,201612,nombre_17
A001698,2016-12-24,P.VIAJE,regalo,regalo: nombre_16,P.VIAJE6,-2967.0,201612,nombre_16
A001699,2016-12-24,P.VIAJE,regalo,regalo: nombre_14,P.VIAJE7,-2967.0,201612,nombre_14
A001700,2016-12-24,P.VIAJE,regalo,regalo: nombre_15,P.VIAJE8,-2967.0,201612,nombre_15
A001706,2016-12-28,P.VIAJE,regalo,regalo: nombre_2,P.VIAJE9,-28206.0,201612,nombre_2
A001765,2017-01-20,RECREACION,recreacion,recreacion: nombre_15,RECREACION1,-4941.0,201701,nombre_15
A001786,2017-01-28,P.FORMAL,transporte,transporte: nombre_2,P.FORMAL5,-84606.0,201701,nombre_2
A001804,2017-02-01,INGRESO,inversion,inversion: nombre_1,INGRESO4,-141006.0,201702,nombre_1
A001811,2017-02-03,INGRESO,inversion,inversion: nombre_20,INGRESO5,-493506.0,201702,nombre_20
A001824,2017-02-06,RECREACION,invitacion,invitacion: nombre_12,RECREACION5,-3143.25,201702,nombre_12
A001867,2017-02-24,RECREACION,invitacion,invitacion: nombre_13,RECREACION6,-4024.5,201702,nombre_13
A001890,2017-02-28,RECREACION,invitacion,invitacion: nombre_10,RECREACION7,-4024.5,201702,nombre_10
A001917,2017-03-11,P.VIAJE,regalo,regalo: nombre_13,P.VIAJE7,-14106.0,201703,nombre_13
A001922,2017-03-11,P.VIAJE,regalo,regalo: nombre_11,P.VIAJE9,-3531.0,201703,nombre_11
A001935,2017-03-12,P.VIAJE,regalo,regalo: nombre_9,P.VIAJE10,-4588.5,201703,nombre_9
A001960,2017-03-14,P.VIAJE,regalo,regalo: nombre_9,P.VIAJE3,-993.0,201703,nombre_9
A001961,2017-03-14,P.VIAJE,regalo,regalo: nombre_10,P.VIAJE6,-993.0,201703,nombre_10
A002036,2017-03-25,RECREACION,recreacion,recreacion: nombre_4,RECREACION2,-21579.0,201703,nombre_4
A002045,2017-03-27,P.VIAJE,regalo,regalo: nombre_4,P.VIAJE7,-102248.625,201703,nombre_4
A002084,2017-04-05,RECREACION,recreacion,recreacion: nombre_20,RECREACION3,-3531.0,201704,nombre_20
A002111,2017-04-16,RECREACION,invitacion,invitacion: nombre_20,RECREACION8,-3037.5,201704,nombre_20
A002132,2017-04-22,RECREACION,consumible,consumible: nombre_9,RECREACION5,-3531.0,201704,nombre_9
A002135,2017-04-24,RECREACION,recreacion,recreacion: nombre_17,RECREACION4,-4236.0,201704,nombre_17
A002174,2017-05-04,P.RECREACION,regalo,regalo: nombre_20,P.RECREACION9,-59578.5,201705,nombre_20
A002182,2017-05-12,RECREACION,recreacion,recreacion: nombre_12,RECREACION5,-4236.0,201705,nombre_12
A002210,2017-05-13,P.FORMAL,transporte,transporte: nombre_6,P.FORMAL6,-24681.0,201705,nombre_6
A002228,2017-05-16,P.RECREACION,regalo,regalo: nombre_10,P.RECREACION10,-126906.0,201705,nombre_10
A002234,2017-05-18,LIBRE,invitacion,invitacion: nombre_9,LIBRE9,-24681.0,201705,nombre_9
A002237,2017-05-19,RECREACION,invitacion,invitacion: nombre_14,RECREACION1,-4941.0,201705,nombre_14
A002289,2017-06-04,RECREACION,invitacion,invitacion: nombre_3,RECREACION4,-3037.5,201706,nombre_3
A002294,2017-06-09,RECREACION,consumible,consumible: nombre_16,RECREACION6,-6351.0,201706,nombre_16
A002303,2017-06-10,P.VIAJE,regalo,regalo: nombre_12,P.VIAJE2,-2121.0,201706,nombre_12
A002304,2017-06-10,P.VIAJE,regalo,regalo: nombre_1,P.VIAJE3,-3531.0,201706,nombre_1
A002306,2017-06-10,P.VIAJE,regalo,regalo: nombre_7,P.VIAJE8,-17631.0,201706,nombre_7
A002348,2017-06-12,P.VIAJE,regalo,regalo: nombre_17,P.VIAJE6,-10581.0,201706,nombre_17
A002397,2017-06-17,RECREACION,recreacion,recreacion: nombre_18,RECREACION6,-37300.5,201706,nombre_18
A002398,2017-06-17,RECREACION,recreacion,recreacion: nombre_2,RECREACION7,-7972.5,201706,nombre_2
A002400,2017-06-17,LIBRE,transaccion,transaccion: nombre_20,LIBRE6,21144.0,201706,nombre_20
A002401,2017-06-17,RECREACION,transaccion,transaccion: nombre_13,RECREACION3,7044.0,201706,nombre_13
A002424,2017-06-24,RECREACION,regalo,regalo: nombre_8,RECREACION2,-11497.5,201706,nombre_8
A002427,2017-06-26,RECREACION,recreacion,recreacion: nombre_8,RECREACION8,-1416.0,201706,nombre_8
A002430,2017-06-28,RECREACION,recreacion,recreacion: nombre_9,RECREACION9,-2121.0,201706,nombre_9
A002457,2017-07-06,RECREACION,invitacion,invitacion: nombre_10,RECREACION9,-4024.5,201707,nombre_10
A002463,2017-07-08,RECREACION,invitacion,invitacion: nombre_9,RECREACION10,-16221.0,201707,nombre_9
A002503,2017-07-21,P.VIAJE,regalo,regalo: nombre_20,P.VIAJE7,-45301.545,201707,nombre_20
A002525,2017-07-26,RECREACION,recreacion,recreacion: nombre_14,RECREACION10,-3531.0,201707,nombre_14
A002615,2017-08-25,RECREACION,recreacion,recreacion: nombre_17,RECREACION1,-3531.0,201708,nombre_17
A002657,2017-09-10,RECREACION,recreacion,recreacion: nombre_12,RECREACION2,-35256.0,201709,nombre_12
A002662,2017-09-10,RECREACION,invitacion,invitacion: nombre_12,RECREACION1,-4279.71,201709,nombre_12
A002699,2017-09-16,LIBRE,recreacion,recreacion: nombre_11,LIBRE8,45819.0,201709,nombre_11
A002743,2017-09-29,RECREACION,invitacion,invitacion: nombre_11,RECREACION2,-3531.0,201709,nombre_11
A002785,2017-10-06,P.VIAJE,regalo,regalo: nombre_6,P.VIAJE8,-4941.0,201710,nombre_6
A002794,2017-10-07,P.VIAJE,regalo,regalo: nombre_12,P.VIAJE9,-4236.0,201710,nombre_12
A002849,2017-10-17,LIBRE,recreacion,recreacion: nombre_18,LIBRE9,-14106.0,201710,nombre_18
A002869,2017-10-20,P.VIAJE,regalo,regalo: nombre_19,P.VIAJE10,-5646.0,201710,nombre_19
A002910,2017-10-25,RECREACION,recreacion,recreacion: nombre_18,RECREACION3,-17631.0,201710,nombre_18
A002922,2017-10-27,RECREACION,invitacion,invitacion: nombre_10,RECREACION3,-5857.5,201710,nombre_10
A002969,2017-11-09,P.VIAJE,recreacion,recreacion: nombre_17,P.VIAJE10,-2508.75,201711,nombre_17
A002970,2017-11-09,P.VIAJE,recreacion,recreacion: nombre_16,P.VIAJE1,-2508.75,201711,nombre_16
A002971,2017-11-09,P.VIAJE,recreacion,recreacion: nombre_13,P.VIAJE2,-11920.5,201711,nombre_13
A002972,2017-11-09,P.VIAJE,regalo,regalo: nombre_16,P.VIAJE1,-707.4749999999999,201711,nombre_16
A003004,2017-11-12,P.VIAJE,transporte,transporte: nombre_12,P.VIAJE9,-15737.369999999999,201711,nombre_12
A003024,2017-11-18,P.VIAJE,regalo,regalo: nombre_9,P.VIAJE2,-8606.295,201711,nombre_9
A003026,2017-11-18,P.VIAJE,regalo,regalo: nombre_10,P.VIAJE3,-3875.745,201711,nombre_10
A003029,2017-11-18,P.VIAJE,regalo,regalo: nombre_11,P.VIAJE4,-8606.295,201711,nombre_11
A003030,2017-11-18,P.VIAJE,transporte,transporte: nombre_13,P.VIAJE10,-13702.035,201711,nombre_13
A003056,2017-11-25,P.VIAJE,regalo,regalo: nombre_7,P.VIAJE5,-8580.210000000001,201711,nombre_7
A003057,2017-11-25,P.VIAJE,regalo,regalo: nombre_1,P.VIAJE6,-6436.304999999999,201711,nombre_1
A003058,2017-11-25,P.VIAJE,regalo,regalo: nombre_2,P.VIAJE7,-8580.210000000001,201711,nombre_2
A003062,2017-11-25,P.VIAJE,regalo,regalo: nombre_12,P.VIAJE8,-10723.41,201711,nombre_12
A003067,2017-11-26,P.VIAJE,regalo,regalo: nombre_18,P.VIAJE9,-39428.189999999995,201711,nombre_18
A003071,2017-11-26,P.VIAJE,regalo,regalo: nombre_8,P.VIAJE10,-17561.204999999998,201711,nombre_8
A003072,2017-11-26,P.VIAJE,regalo,regalo: nombre_18,P.VIAJE1,-5772.195000000001,201711,nombre_18
A003074,2017-11-26,RECREACION,recreacion,recreacion: nombre_5,RECREACION6,-5220.885,201711,nombre_5
A003105,2017-12-03,P.RECREACION,regalo,regalo: nombre_11,P.RECREACION1,-123028.5,201712,nombre_11
A003177,2017-12-16,P.RECREACION,regalo,regalo: nombre_7,P.RECREACION2,-17490.0,201712,nombre_7
A003178,2017-12-16,P.RECREACION,regalo,regalo: nombre_12,P.RECREACION3,-10722.0,201712,nombre_12
A003179,2017-12-16,P.RECREACION,regalo,regalo: nombre_13,P.RECREACION4,-28093.199999999997,201712,nombre_13
A003183,2017-12-16,P.RECREACION,regalo,regalo: nombre_17,P.RECREACION5,-8818.5,201712,nombre_17
A003184,2017-12-16,P.RECREACION,regalo,regalo: nombre_11,P.RECREACION6,-5564.22,201712,nombre_11
A003185,2017-12-16,P.RECREACION,regalo,regalo: nombre_1,P.RECREACION7,-9171.0,201712,nombre_1
A003188,2017-12-17,P.RECREACION,regalo,regalo: nombre_2,P.RECREACION8,-35256.0,201712,nombre_2
A003194,2017-12-19,RECREACION,invitacion,invitacion: nombre_19,RECREACION4,-3813.0,201712,nombre_19
A003195,2017-12-19,RECREACION,invitacion,invitacion: nombre_20,RECREACION5,-3813.0,201712,nombre_20
A003202,2017-12-22,LIBRE,recreacion,recreacion: nombre_4,LIBRE10,-7056.0,201712,nombre_4
A003264,2018-01-10,P.FORMAL,transporte,transporte: nombre_3,P.FORMAL7,-84606.0,201801,nombre_3
A003272,2018-01-12,RECREACION,invitacion,invitacion: nombre_12,RECREACION6,-4024.5,201801,nombre_12
A003311,2018-01-19,RECREACION,recreacion,recreacion: nombre_16,RECREACION7,-3531.0,201801,nombre_16
A003348,2018-01-31,NECESIDAD,consumible,consumible: nombre_14,NECESIDAD2,-7056.0,201801,nombre_14
A003351,2018-02-02,RECREACION,recreacion,recreacion: nombre_6,RECREACION8,-4024.5,201802,nombre_6
A003352,2018-02-02,RECREACION,recreacion,recreacion: nombre_7,RECREACION9,-4024.5,201802,nombre_7
A003362,2018-02-04,RECREACION,invitacion,invitacion: nombre_9,RECREACION7,-7056.0,201802,nombre_9
A003370,2018-02-10,RECREACION,invitacion,invitacion: nombre_1,RECREACION8,-3531.0,201802,nombre_1
A003416,2018-02-24,RECREACION,invitacion,invitacion: nombre_11,RECREACION9,-3601.5,201802,nombre_11
A003449,2018-03-03,RECREACION,regalo,regalo: nombre_5,RECREACION3,-2121.0,201803,nombre_5
A003517,2018-03-24,RECREACION,invitacion,invitacion: nombre_4,RECREACION10,-3813.0,201803,nombre_4
A003519,2018-03-24,RECREACION,invitacion,invitacion: nombre_17,RECREACION1,-4306.5,201803,nombre_17
A003520,2018-03-25,LIBRE,transaccion,transaccion: nombre_2,LIBRE7,3519.0,201803,nombre_2
A003555,2018-03-30,RECREACION,invitacion,invitacion: nombre_3,RECREACION2,-2755.5,201803,nombre_3
A003556,2018-03-30,RECREACION,invitacion,invitacion: nombre_14,RECREACION3,-2755.5,201803,nombre_14
A003557,2018-04-03,RECREACION,recreacion,recreacion: nombre_1,RECREACION10,-3531.0,201804,nombre_1
A003587,2018-04-14,RECREACION,invitacion,invitacion: nombre_10,RECREACION4,-4095.0,201804,nombre_10
A003588,2018-04-14,RECREACION,invitacion,invitacion: nombre_11,RECREACION5,-4095.0,201804,nombre_11
A003600,2018-04-20,RECREACION,recreacion,recreacion: nombre_18,RECREACION1,-3531.0,201804,nombre_18
A003615,2018-04-28,RECREACION,invitacion,invitacion: nombre_19,RECREACION6,-3178.5,201804,nombre_19
A003682,2018-05-06,P.VIAJE,transporte,transporte: nombre_17,P.VIAJE1,7044.0,201805,nombre_17
A003690,2018-05-08,RECREACION,recreacion,recreacion: nombre_13,RECREACION2,-3531.0,201805,nombre_13
A003699,2018-05-10,P.RECREACION,regalo,regalo: nombre_5,P.RECREACION9,-70506.0,201805,nombre_5
A003751,2018-05-21,P.VIAJE,recreacion,recreacion: nombre_5,P.VIAJE3,-18336.0,201805,nombre_5
A003812,2018-06-02,RECREACION,invitacion,invitacion: nombre_12,RECREACION7,-703.95,201806,nombre_12
A003813,2018-06-03,RECREACION,invitacion,invitacion: nombre_12,RECREACION8,-4941.0,201806,nombre_12
A003814,2018-06-03,LIBRE,recreacion,recreacion: nombre_13,LIBRE1,-5646.0,201806,nombre_13
A003815,2018-06-03,LIBRE,recreacion,recreacion: nombre_14,LIBRE2,5634.0,201806,nombre_14
A003819,2018-06-03,LIBRE,recreacion,recreacion: nombre_6,LIBRE3,-3531.0,201806,nombre_6
A003832,2018-06-08,RECREACION,recreacion,recreacion: nombre_1,RECREACION3,-3531.0,201806,nombre_1
A003834,2018-06-08,RECREACION,invitacion,invitacion: nombre_20,RECREACION9,-2755.5,201806,nombre_20
A003843,2018-06-10,HOGAR,regalo,regalo: nombre_10,HOGAR10,-63385.5,201806,nombre_10
A003852,2018-06-14,RECREACION,invitacion,invitacion: nombre_18,RECREACION10,-4095.0,201806,nombre_18
A003853,2018-06-14,RECREACION,invitacion,invitacion: nombre_13,RECREACION1,-4095.0,201806,nombre_13
A003886,2018-06-20,RECREACION,recreacion,recreacion: nombre_1,RECREACION4,-4941.0,201806,nombre_1
A003919,2018-06-24,P.VIAJE,regalo,regalo: nombre_9,P.VIAJE2,-24328.5,201806,nombre_9
A003924,2018-06-26,RECREACION,recreacion,recreacion: nombre_10,RECREACION5,-3531.0,201806,nombre_10
A003969,2018-07-07,RECREACION,invitacion,invitacion: nombre_10,RECREACION2,-4236.0,201807,nombre_10
A003992,2018-07-12,RECREACION,invitacion,invitacion: nombre_5,RECREACION3,-6985.5,201807,nombre_5
A004000,2018-07-16,RECREACION,invitacion,invitacion: nombre_13,RECREACION4,-6104.25,201807,nombre_13
A004002,2018-07-17,RECREACION,invitacion,invitacion: nombre_4,RECREACION5,-3460.5,201807,nombre_4
A004015,2018-07-21,RECREACION,invitacion,invitacion: nombre_5,RECREACION6,-3108.0,201807,nombre_5
A004066,2018-08-07,RECREACION,recreacion,recreacion: nombre_6,RECREACION6,-5646.0,201808,nombre_6
A004072,2018-08-09,RECREACION,invitacion,invitacion: nombre_12,RECREACION7,-5646.0,201808,nombre_12
A004073,2018-08-09,RECREACION,invitacion,invitacion: nombre_14,RECREACION8,-5646.0,201808,nombre_14
A004074,2018-08-09,RECREACION,invitacion,invitacion: nombre_13,RECREACION9,-5646.0,201808,nombre_13
A004088,2018-08-13,RECREACION,recreacion,recreacion: nombre_3,RECREACION7,-1275.0,201808,nombre_3
